model,accuracy,f1_score,status
CNN_15m_long_V1,0.5992223910188738,0.0,✅ trained
CNN_15m_long_V2,0.5992223910188738,0.0,✅ trained
CNN_15m_long_V3,0.5992223910188738,0.0,✅ trained
CNN_15m_long_V4,0.5073254885804774,0.41507703595011003,✅ trained
CNN_15m_long_V5,0.5992223910188738,0.0,✅ trained
CNN_15m_long_V6,0.5992223910188738,0.0,✅ trained
CNN_15m_long_V7,0.5992223910188738,0.0,✅ trained
CNN_15m_long_V8,0.5992223910188738,0.0,✅ trained
CNN_15m_long_V9,0.5992223910188738,0.0,✅ trained
CNN_15m_long_V10,0.5992223910188738,0.0,✅ trained
CNN_15m_long_V11,0.5992223910188738,0.0,✅ trained
CNN_15m_long_V12,0.5992223910188738,0.0,✅ trained
CNN_15m_long_V13,0.5992223910188738,0.0,✅ trained
CNN_15m_long_V14,0.5992223910188738,0.0,✅ trained
CNN_15m_long_V15,0.5992223910188738,0.0,✅ trained
CNN_15m_short_V1,0.6040373870278343,0.0,✅ trained
CNN_15m_short_V2,0.6040373870278343,0.0,✅ trained
CNN_15m_short_V3,0.6040373870278343,0.0,✅ trained
CNN_15m_short_V4,0.5995571233617427,0.030423940149625937,✅ trained
CNN_15m_short_V5,0.6040373870278343,0.0,✅ trained
CNN_15m_short_V6,0.6040373870278343,0.0,✅ trained
CNN_15m_short_V7,0.6040373870278343,0.0,✅ trained
CNN_15m_short_V8,0.6040373870278343,0.0,✅ trained
CNN_15m_short_V9,0.6040373870278343,0.0,✅ trained
CNN_15m_short_V10,0.6040373870278343,0.0,✅ trained
CNN_15m_short_V11,0.6040631356695935,0.0003900409543002015,✅ trained
CNN_15m_short_V12,0.6040373870278343,0.0,✅ trained
CNN_15m_short_V13,0.6040373870278343,0.0,✅ trained
CNN_15m_short_V14,0.6040373870278343,0.0,✅ trained
CNN_15m_short_V15,0.6040116383860752,0.0014284786702162197,✅ trained
CNN_30m_long_V1,0.602451207580205,0.0,✅ trained
CNN_30m_long_V2,0.602451207580205,0.0,✅ trained
CNN_30m_long_V3,0.602451207580205,0.0,✅ trained
CNN_30m_long_V4,0.5389051959421185,0.394754630255509,✅ trained
CNN_30m_long_V5,0.602451207580205,0.0,✅ trained
CNN_30m_long_V6,0.602451207580205,0.0,✅ trained
CNN_30m_long_V7,0.6023997116226376,0.0,✅ trained
CNN_30m_long_V8,0.602451207580205,0.0,✅ trained
CNN_30m_long_V9,0.602451207580205,0.0,✅ trained
CNN_30m_long_V10,0.602451207580205,0.0,✅ trained
CNN_30m_long_V11,0.602451207580205,0.0,✅ trained
CNN_30m_long_V12,0.602451207580205,0.0,✅ trained
CNN_30m_long_V13,0.602451207580205,0.0,✅ trained
CNN_30m_long_V14,0.602451207580205,0.0,✅ trained
CNN_30m_long_V15,0.602451207580205,0.0,✅ trained
CNN_30m_short_V1,0.601833256089397,0.0,✅ trained
CNN_30m_short_V2,0.601833256089397,0.0,✅ trained
CNN_30m_short_V3,0.601833256089397,0.0,✅ trained
CNN_30m_short_V4,0.5989494824656264,0.01790668348045397,✅ trained
CNN_30m_short_V5,0.601833256089397,0.0,✅ trained
CNN_30m_short_V6,0.601833256089397,0.0,✅ trained
CNN_30m_short_V7,0.601833256089397,0.0,✅ trained
CNN_30m_short_V8,0.601833256089397,0.0,✅ trained
CNN_30m_short_V9,0.601833256089397,0.0,✅ trained
CNN_30m_short_V10,0.601833256089397,0.0,✅ trained
CNN_30m_short_V11,0.601833256089397,0.0,✅ trained
CNN_30m_short_V12,0.601833256089397,0.0,✅ trained
CNN_30m_short_V13,0.601833256089397,0.0,✅ trained
CNN_30m_short_V14,0.601833256089397,0.0,✅ trained
CNN_30m_short_V15,0.601833256089397,0.0,✅ trained
CNN_1h_long_V1,0.594129763130793,0.0667771726260952,✅ trained
CNN_1h_long_V2,0.6065911431513903,0.0,✅ trained
CNN_1h_long_V3,0.6065911431513903,0.0,✅ trained
CNN_1h_long_V4,0.6065911431513903,0.0,✅ trained
CNN_1h_long_V5,0.6065911431513903,0.0,✅ trained
CNN_1h_long_V6,0.6065911431513903,0.0,✅ trained
CNN_1h_long_V7,0.6065911431513903,0.0,✅ trained
CNN_1h_long_V8,0.6065911431513903,0.0,✅ trained
CNN_1h_long_V9,0.6065911431513903,0.0,✅ trained
CNN_1h_long_V10,0.6065911431513903,0.0,✅ trained
CNN_1h_long_V11,0.6065911431513903,0.0,✅ trained
CNN_1h_long_V12,0.6065911431513903,0.0,✅ trained
CNN_1h_long_V13,0.6065911431513903,0.0,✅ trained
CNN_1h_long_V14,0.6065911431513903,0.0,✅ trained
CNN_1h_long_V15,0.6065911431513903,0.0,✅ trained
CNN_1h_short_V1,0.6079299691040165,0.0,✅ trained
CNN_1h_short_V2,0.6079299691040165,0.0,✅ trained
CNN_1h_short_V3,0.6079299691040165,0.0,✅ trained
CNN_1h_short_V4,0.6079299691040165,0.0,✅ trained
CNN_1h_short_V5,0.6079299691040165,0.0,✅ trained
CNN_1h_short_V6,0.6005149330587024,0.08535722706908748,✅ trained
CNN_1h_short_V7,0.6079299691040165,0.0,✅ trained
CNN_1h_short_V8,0.6079299691040165,0.0,✅ trained
CNN_1h_short_V9,0.4893923789907312,0.4588517790875355,✅ trained
CNN_1h_short_V10,0.6079299691040165,0.0,✅ trained
CNN_1h_short_V11,0.6079299691040165,0.0,✅ trained
CNN_1h_short_V12,0.511740473738414,0.40922118380062306,✅ trained
CNN_1h_short_V13,0.6079299691040165,0.0,✅ trained
CNN_1h_short_V14,0.6079299691040165,0.0,✅ trained
CNN_1h_short_V15,0.6079299691040165,0.0,✅ trained
CNN_4h_long_V1,0.6009060955518946,0.0,✅ trained
CNN_4h_long_V2,0.6009060955518946,0.0,✅ trained
CNN_4h_long_V3,0.6009060955518946,0.0,✅ trained
CNN_4h_long_V4,0.6009060955518946,0.0,✅ trained
CNN_4h_long_V5,0.6009060955518946,0.0,✅ trained
CNN_4h_long_V6,0.6009060955518946,0.0,✅ trained
CNN_4h_long_V7,0.6009060955518946,0.0,✅ trained
CNN_4h_long_V8,0.6009060955518946,0.0,✅ trained
CNN_4h_long_V9,0.6009060955518946,0.0,✅ trained
CNN_4h_long_V10,0.6009060955518946,0.0,✅ trained
CNN_4h_long_V11,0.6009060955518946,0.0,✅ trained
CNN_4h_long_V12,0.6009060955518946,0.0,✅ trained
CNN_4h_long_V13,0.6009060955518946,0.0,✅ trained
CNN_4h_long_V14,0.6009060955518946,0.0,✅ trained
CNN_4h_long_V15,0.6009060955518946,0.0,✅ trained
CNN_4h_short_V1,0.6264415156507414,0.0,✅ trained
CNN_4h_short_V2,0.6264415156507414,0.0,✅ trained
CNN_4h_short_V3,0.5691927512355849,0.20516717325227962,✅ trained
CNN_4h_short_V4,0.6264415156507414,0.0,✅ trained
CNN_4h_short_V5,0.6264415156507414,0.0,✅ trained
CNN_4h_short_V6,0.6264415156507414,0.0,✅ trained
CNN_4h_short_V7,0.6264415156507414,0.0,✅ trained
CNN_4h_short_V8,0.6264415156507414,0.0,✅ trained
CNN_4h_short_V9,0.6264415156507414,0.0,✅ trained
CNN_4h_short_V10,0.6264415156507414,0.0,✅ trained
CNN_4h_short_V11,0.6264415156507414,0.0,✅ trained
CNN_4h_short_V12,0.6264415156507414,0.0,✅ trained
CNN_4h_short_V13,0.6264415156507414,0.0,✅ trained
CNN_4h_short_V14,0.6264415156507414,0.0,✅ trained
CNN_4h_short_V15,0.6264415156507414,0.0,✅ trained
CNN_1d_long_V1,0.5382716049382716,0.0,✅ trained
CNN_1d_long_V2,0.48641975308641977,0.4876847290640394,✅ trained
CNN_1d_long_V3,0.5382716049382716,0.0,✅ trained
CNN_1d_long_V4,0.5456790123456791,0.31343283582089554,✅ trained
CNN_1d_long_V5,0.5382716049382716,0.0,✅ trained
CNN_1d_long_V6,0.5382716049382716,0.0,✅ trained
CNN_1d_long_V7,0.5382716049382716,0.0,✅ trained
CNN_1d_long_V8,0.5382716049382716,0.0,✅ trained
CNN_1d_long_V9,0.5382716049382716,0.0,✅ trained
CNN_1d_long_V10,0.5456790123456791,0.031578947368421054,✅ trained
CNN_1d_long_V11,0.5234567901234568,0.36303630363036304,✅ trained
CNN_1d_long_V12,0.5234567901234568,0.205761316872428,✅ trained
CNN_1d_long_V13,0.5259259259259259,0.25,✅ trained
CNN_1d_long_V14,0.5382716049382716,0.0,✅ trained
CNN_1d_long_V15,0.5382716049382716,0.0,✅ trained
CNN_1d_short_V1,0.5679012345679012,0.36363636363636365,✅ trained
CNN_1d_short_V2,0.674074074074074,0.0,✅ trained
CNN_1d_short_V3,0.674074074074074,0.0,✅ trained
CNN_1d_short_V4,0.674074074074074,0.0,✅ trained
CNN_1d_short_V5,0.674074074074074,0.0,✅ trained
CNN_1d_short_V6,0.654320987654321,0.014084507042253521,✅ trained
CNN_1d_short_V7,0.674074074074074,0.0,✅ trained
CNN_1d_short_V8,0.674074074074074,0.0,✅ trained
CNN_1d_short_V9,0.674074074074074,0.0,✅ trained
CNN_1d_short_V10,0.674074074074074,0.0,✅ trained
CNN_1d_short_V11,0.674074074074074,0.0,✅ trained
CNN_1d_short_V12,0.674074074074074,0.0,✅ trained
CNN_1d_short_V13,0.674074074074074,0.0,✅ trained
CNN_1d_short_V14,0.674074074074074,0.0,✅ trained
CNN_1d_short_V15,0.674074074074074,0.0,✅ trained
