model,status,accuracy_%
DQN_1d_long_V1,⏭️ already exists,
DQN_1d_long_V2,⏭️ already exists,
DQN_1d_long_V3,⏭️ already exists,
DQN_1d_long_V4,⏭️ already exists,
DQN_1d_long_V5,⏭️ already exists,
DQN_1d_long_V6,⏭️ already exists,
DQN_1d_long_V7,⏭️ already exists,
DQN_1d_long_V8,⏭️ already exists,
DQN_1d_long_V9,⏭️ already exists,
DQN_1d_long_V10,⏭️ already exists,
DQN_1d_long_V11,⏭️ already exists,
DQN_1d_long_V12,⏭️ already exists,
DQN_1d_long_V13,⏭️ already exists,
DQN_1d_long_V14,⏭️ already exists,
DQN_1d_long_V15,⏭️ already exists,
DQN_1d_short_V1,⏭️ already exists,
DQN_1d_short_V2,⏭️ already exists,
DQN_1d_short_V3,⏭️ already exists,
DQN_1d_short_V4,⏭️ already exists,
DQN_1d_short_V5,⏭️ already exists,
DQN_1d_short_V6,⏭️ already exists,
DQN_1d_short_V7,⏭️ already exists,
DQN_1d_short_V8,⏭️ already exists,
DQN_1d_short_V9,⏭️ already exists,
DQN_1d_short_V10,⏭️ already exists,
DQN_1d_short_V11,⏭️ already exists,
DQN_1d_short_V12,⏭️ already exists,
DQN_1d_short_V13,⏭️ already exists,
DQN_1d_short_V14,⏭️ already exists,
DQN_1d_short_V15,⏭️ already exists,
DQN_4h_long_V1,⏭️ already exists,
DQN_4h_long_V2,⏭️ already exists,
DQN_4h_long_V3,⏭️ already exists,
DQN_4h_long_V4,⏭️ already exists,
DQN_4h_long_V5,⏭️ already exists,
DQN_4h_long_V6,⏭️ already exists,
DQN_4h_long_V7,⏭️ already exists,
DQN_4h_long_V8,⏭️ already exists,
DQN_4h_long_V9,⏭️ already exists,
DQN_4h_long_V10,⏭️ already exists,
DQN_4h_long_V11,⏭️ already exists,
DQN_4h_long_V12,⏭️ already exists,
DQN_4h_long_V13,⏭️ already exists,
DQN_4h_long_V14,⏭️ already exists,
DQN_4h_long_V15,⏭️ already exists,
DQN_4h_short_V1,⏭️ already exists,
DQN_4h_short_V2,⏭️ already exists,
DQN_4h_short_V3,⏭️ already exists,
DQN_4h_short_V4,⏭️ already exists,
DQN_4h_short_V5,⏭️ already exists,
DQN_4h_short_V6,⏭️ already exists,
DQN_4h_short_V7,⏭️ already exists,
DQN_4h_short_V8,⏭️ already exists,
DQN_4h_short_V9,⏭️ already exists,
DQN_4h_short_V10,⏭️ already exists,
DQN_4h_short_V11,⏭️ already exists,
DQN_4h_short_V12,⏭️ already exists,
DQN_4h_short_V13,⏭️ already exists,
DQN_4h_short_V14,⏭️ already exists,
DQN_4h_short_V15,⏭️ already exists,
DQN_1h_long_V1,⏭️ already exists,
DQN_1h_long_V2,⏭️ already exists,
DQN_1h_long_V3,⏭️ already exists,
DQN_1h_long_V4,⏭️ already exists,
DQN_1h_long_V5,⏭️ already exists,
DQN_1h_long_V6,⏭️ already exists,
DQN_1h_long_V7,⏭️ already exists,
DQN_1h_long_V8,⏭️ already exists,
DQN_1h_long_V9,⏭️ already exists,
DQN_1h_long_V10,⏭️ already exists,
DQN_1h_long_V11,⏭️ already exists,
DQN_1h_long_V12,⏭️ already exists,
DQN_1h_long_V13,⏭️ already exists,
DQN_1h_long_V14,⏭️ already exists,
DQN_1h_long_V15,⏭️ already exists,
DQN_1h_short_V1,⏭️ already exists,
DQN_1h_short_V2,⏭️ already exists,
DQN_1h_short_V3,⏭️ already exists,
DQN_1h_short_V4,⏭️ already exists,
DQN_1h_short_V5,⏭️ already exists,
DQN_1h_short_V6,⏭️ already exists,
DQN_1h_short_V7,⏭️ already exists,
DQN_1h_short_V8,⏭️ already exists,
DQN_1h_short_V9,⏭️ already exists,
DQN_1h_short_V10,⏭️ already exists,
DQN_1h_short_V11,⏭️ already exists,
DQN_1h_short_V12,⏭️ already exists,
DQN_1h_short_V13,⏭️ already exists,
DQN_1h_short_V14,⏭️ already exists,
DQN_1h_short_V15,⏭️ already exists,
DQN_30m_long_V1,⏭️ already exists,
DQN_30m_long_V2,⏭️ already exists,
DQN_30m_long_V3,⏭️ already exists,
DQN_30m_long_V4,⏭️ already exists,
DQN_30m_long_V5,⏭️ already exists,
DQN_30m_long_V6,⏭️ already exists,
DQN_30m_long_V7,⏭️ already exists,
DQN_30m_long_V8,⏭️ already exists,
DQN_30m_long_V9,⏭️ already exists,
DQN_30m_long_V10,⏭️ already exists,
DQN_30m_long_V11,⏭️ already exists,
DQN_30m_long_V12,⏭️ already exists,
DQN_30m_long_V13,⏭️ already exists,
DQN_30m_long_V14,⏭️ already exists,
DQN_30m_long_V15,⏭️ already exists,
DQN_30m_short_V1,⏭️ already exists,
DQN_30m_short_V2,⏭️ already exists,
DQN_30m_short_V3,⏭️ already exists,
DQN_30m_short_V4,⏭️ already exists,
DQN_30m_short_V5,⏭️ already exists,
DQN_30m_short_V6,⏭️ already exists,
DQN_30m_short_V7,⏭️ already exists,
DQN_30m_short_V8,⏭️ already exists,
DQN_30m_short_V9,⏭️ already exists,
DQN_30m_short_V10,⏭️ already exists,
DQN_30m_short_V11,⏭️ already exists,
DQN_30m_short_V12,⏭️ already exists,
DQN_30m_short_V13,⏭️ already exists,
DQN_30m_short_V14,⏭️ already exists,
DQN_30m_short_V15,⏭️ already exists,
DQN_15m_long_V1,⏭️ already exists,
DQN_15m_long_V2,⏭️ already exists,
DQN_15m_long_V3,⏭️ already exists,
DQN_15m_long_V4,⏭️ already exists,
DQN_15m_long_V5,⏭️ already exists,
DQN_15m_long_V6,⏭️ already exists,
DQN_15m_long_V7,⏭️ already exists,
DQN_15m_long_V8,⏭️ already exists,
DQN_15m_long_V9,⏭️ already exists,
DQN_15m_long_V10,⏭️ already exists,
DQN_15m_long_V11,⏭️ already exists,
DQN_15m_long_V12,⏭️ already exists,
DQN_15m_long_V13,⏭️ already exists,
DQN_15m_long_V14,⏭️ already exists,
DQN_15m_long_V15,✅,39.95
DQN_15m_short_V1,✅,40.44
DQN_15m_short_V2,✅,39.84
DQN_15m_short_V3,✅,39.84
DQN_15m_short_V4,✅,39.84
DQN_15m_short_V5,✅,39.84
DQN_15m_short_V6,✅,52.11
DQN_15m_short_V7,✅,39.84
DQN_15m_short_V8,✅,43.52
DQN_15m_short_V9,✅,39.84
DQN_15m_short_V10,✅,44.0
DQN_15m_short_V11,✅,39.84
DQN_15m_short_V12,✅,39.84
DQN_15m_short_V13,✅,39.84
DQN_15m_short_V14,✅,40.69
DQN_15m_short_V15,✅,39.84
