family,tf,variant,tf_data_exists,m1_exists,long_model,short_model,long_ext,short_ext,long_spec,short_spec,long_spec_feats,short_spec_feats,long_trades_rows,short_trades_rows,long_issues,short_issues,issues_overall,hint
CNN,1d,V1,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1d_long_V1.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1d_short_V1.pt,.pt,.pt,True,True,36,36,1321,0,ok,no_trades_csv_or_empty,no_trades_csv_or_empty,запустити бектест або перевірити умови відкриття/сигнали
CNN,1d,V2,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1d_long_V2.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1d_short_V2.pt,.pt,.pt,True,True,2,2,1075,262,ok,ok,ok,ok
CNN,1d,V3,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1d_long_V3.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1d_short_V3.pt,.pt,.pt,True,True,2,2,1316,8,ok,ok,ok,ok
CNN,1d,V4,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1d_long_V4.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1d_short_V4.pt,.pt,.pt,True,True,4,4,515,1318,ok,ok,ok,ok
CNN,1d,V5,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1d_long_V5.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1d_short_V5.pt,.pt,.pt,True,True,3,3,442,944,ok,ok,ok,ok
CNN,1d,V6,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1d_long_V6.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1d_short_V6.pt,.pt,.pt,True,True,5,5,1036,306,ok,ok,ok,ok
CNN,1d,V7,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1d_long_V7.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1d_short_V7.pt,.pt,.pt,True,True,3,3,494,826,ok,ok,ok,ok
CNN,1d,V8,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1d_long_V8.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1d_short_V8.pt,.pt,.pt,True,True,3,3,627,769,ok,ok,ok,ok
CNN,1d,V9,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1d_long_V9.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1d_short_V9.pt,.pt,.pt,True,True,4,4,766,604,ok,ok,ok,ok
CNN,1d,V10,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1d_long_V10.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1d_short_V10.pt,.pt,.pt,True,True,7,7,923,414,ok,ok,ok,ok
