family,tf,variant,long_missing,short_missing,expected_long_path,expected_short_path,long_issues,short_issues
PPO,15m,V1,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
PPO,15m,V10,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
PPO,15m,V11,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
PPO,15m,V12,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
PPO,15m,V13,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
PPO,15m,V14,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
PPO,15m,V15,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
PPO,15m,V2,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
PPO,15m,V3,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
PPO,15m,V4,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
PPO,15m,V5,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
PPO,15m,V6,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
PPO,15m,V7,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
PPO,15m,V8,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
PPO,15m,V9,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
PPO,1d,V1,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
PPO,1d,V10,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
PPO,1d,V11,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
PPO,1d,V12,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
PPO,1d,V13,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
PPO,1d,V14,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
PPO,1d,V15,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
PPO,1d,V2,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
PPO,1d,V3,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
PPO,1d,V4,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
PPO,1d,V5,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
PPO,1d,V6,True,True,nan,nan,"no_model_file,no_trades_csv_or_empty","no_model_file,no_trades_csv_or_empty"
