family,tf,variant,long_model,short_model,long_trades_rows,short_trades_rows
CNN,15m,V1,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_long_V1.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_short_V1.pt,11397,0
CNN,15m,V13,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_long_V13.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_short_V13.pt,11397,0
CNN,1d,V1,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1d_long_V1.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1d_short_V1.pt,1321,0
CNN,1d,V13,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1d_long_V13.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1d_short_V13.pt,1321,0
CNN,1d,V14,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1d_long_V14.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1d_short_V14.pt,1321,0
CNN,1d,V15,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1d_long_V15.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1d_short_V15.pt,1321,0
CNN,1h,V1,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_long_V1.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_short_V1.pt,7855,0
CNN,1h,V13,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_long_V13.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_short_V13.pt,7855,0
CNN,1h,V14,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_long_V14.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_short_V14.pt,0,8020
CNN,1h,V15,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_long_V15.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_short_V15.pt,0,8020
CNN,30m,V1,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_long_V1.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_short_V1.pt,0,9799
CNN,30m,V13,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_long_V13.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_short_V13.pt,9595,0
CNN,30m,V15,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_long_V15.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_short_V15.pt,9595,0
CNN,4h,V13,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_4h_long_V13.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_4h_short_V13.pt,4409,0
CNN,4h,V14,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_4h_long_V14.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_4h_short_V14.pt,4409,0
DQN,15m,V1,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_15m_long_V1.pt,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_15m_short_V1.pt,11397,0
DQN,15m,V15,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_15m_long_V15.pt,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_15m_short_V15.pt,11397,0
DQN,1d,V1,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_long_V1.pt,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_short_V1.pt,1321,0
DQN,1d,V13,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_long_V13.pt,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_short_V13.pt,1321,0
DQN,1d,V14,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_long_V14.pt,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_short_V14.pt,1321,0
DQN,1h,V14,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1h_long_V14.pt,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1h_short_V14.pt,0,8020
DQN,30m,V1,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_30m_long_V1.pt,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_30m_short_V1.pt,9595,0
DQN,30m,V13,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_30m_long_V13.pt,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_30m_short_V13.pt,0,9799
DQN,4h,V1,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_4h_long_V1.pt,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_4h_short_V1.pt,4409,0
DQN,4h,V15,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_4h_long_V15.pt,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_4h_short_V15.pt,0,4463
LSTM,15m,V1,D:\Project\MeowBot\models\BTCUSDT\LSTM\LSTM_15m_long_V1.pt,D:\Project\MeowBot\models\BTCUSDT\LSTM\LSTM_15m_short_V1.pt,11397,0
LSTM,15m,V13,D:\Project\MeowBot\models\BTCUSDT\LSTM\LSTM_15m_long_V13.pt,D:\Project\MeowBot\models\BTCUSDT\LSTM\LSTM_15m_short_V13.pt,0,11441
LSTM,15m,V14,D:\Project\MeowBot\models\BTCUSDT\LSTM\LSTM_15m_long_V14.pt,D:\Project\MeowBot\models\BTCUSDT\LSTM\LSTM_15m_short_V14.pt,0,11441
LSTM,15m,V15,D:\Project\MeowBot\models\BTCUSDT\LSTM\LSTM_15m_long_V15.pt,D:\Project\MeowBot\models\BTCUSDT\LSTM\LSTM_15m_short_V15.pt,11397,0
LSTM,15m,V4,D:\Project\MeowBot\models\BTCUSDT\LSTM\LSTM_15m_long_V4.pt,D:\Project\MeowBot\models\BTCUSDT\LSTM\LSTM_15m_short_V4.pt,11397,0
LSTM,1d,V1,D:\Project\MeowBot\models\BTCUSDT\LSTM\LSTM_1d_long_V1.pt,D:\Project\MeowBot\models\BTCUSDT\LSTM\LSTM_1d_short_V1.pt,1321,0
LSTM,1d,V13,D:\Project\MeowBot\models\BTCUSDT\LSTM\LSTM_1d_long_V13.pt,D:\Project\MeowBot\models\BTCUSDT\LSTM\LSTM_1d_short_V13.pt,1321,0
LSTM,1d,V14,D:\Project\MeowBot\models\BTCUSDT\LSTM\LSTM_1d_long_V14.pt,D:\Project\MeowBot\models\BTCUSDT\LSTM\LSTM_1d_short_V14.pt,1321,0
LSTM,1d,V15,D:\Project\MeowBot\models\BTCUSDT\LSTM\LSTM_1d_long_V15.pt,D:\Project\MeowBot\models\BTCUSDT\LSTM\LSTM_1d_short_V15.pt,1321,0
LSTM,1h,V14,D:\Project\MeowBot\models\BTCUSDT\LSTM\LSTM_1h_long_V14.pt,D:\Project\MeowBot\models\BTCUSDT\LSTM\LSTM_1h_short_V14.pt,0,8020
LSTM,30m,V1,D:\Project\MeowBot\models\BTCUSDT\LSTM\LSTM_30m_long_V1.pt,D:\Project\MeowBot\models\BTCUSDT\LSTM\LSTM_30m_short_V1.pt,0,9799
LSTM,30m,V14,D:\Project\MeowBot\models\BTCUSDT\LSTM\LSTM_30m_long_V14.pt,D:\Project\MeowBot\models\BTCUSDT\LSTM\LSTM_30m_short_V14.pt,0,9799
LSTM,30m,V15,D:\Project\MeowBot\models\BTCUSDT\LSTM\LSTM_30m_long_V15.pt,D:\Project\MeowBot\models\BTCUSDT\LSTM\LSTM_30m_short_V15.pt,9595,0
LSTM,4h,V13,D:\Project\MeowBot\models\BTCUSDT\LSTM\LSTM_4h_long_V13.pt,D:\Project\MeowBot\models\BTCUSDT\LSTM\LSTM_4h_short_V13.pt,0,4463
TRANSFORMER,15m,V1,D:\Project\MeowBot\models\BTCUSDT\TRANSFORMER\TRANSFORMER_15m_long_V1.pt,D:\Project\MeowBot\models\BTCUSDT\TRANSFORMER\TRANSFORMER_15m_short_V1.pt,11397,0
TRANSFORMER,15m,V13,D:\Project\MeowBot\models\BTCUSDT\TRANSFORMER\TRANSFORMER_15m_long_V13.pt,D:\Project\MeowBot\models\BTCUSDT\TRANSFORMER\TRANSFORMER_15m_short_V13.pt,0,11441
TRANSFORMER,15m,V14,D:\Project\MeowBot\models\BTCUSDT\TRANSFORMER\TRANSFORMER_15m_long_V14.pt,D:\Project\MeowBot\models\BTCUSDT\TRANSFORMER\TRANSFORMER_15m_short_V14.pt,11397,0
TRANSFORMER,15m,V15,D:\Project\MeowBot\models\BTCUSDT\TRANSFORMER\TRANSFORMER_15m_long_V15.pt,D:\Project\MeowBot\models\BTCUSDT\TRANSFORMER\TRANSFORMER_15m_short_V15.pt,11397,0
TRANSFORMER,1d,V1,D:\Project\MeowBot\models\BTCUSDT\TRANSFORMER\TRANSFORMER_1d_long_V1.pt,D:\Project\MeowBot\models\BTCUSDT\TRANSFORMER\TRANSFORMER_1d_short_V1.pt,1321,0
TRANSFORMER,1d,V14,D:\Project\MeowBot\models\BTCUSDT\TRANSFORMER\TRANSFORMER_1d_long_V14.pt,D:\Project\MeowBot\models\BTCUSDT\TRANSFORMER\TRANSFORMER_1d_short_V14.pt,1321,0
TRANSFORMER,1d,V15,D:\Project\MeowBot\models\BTCUSDT\TRANSFORMER\TRANSFORMER_1d_long_V15.pt,D:\Project\MeowBot\models\BTCUSDT\TRANSFORMER\TRANSFORMER_1d_short_V15.pt,1321,0
