symbol,trades,wins,losses,winrate,avg_pnl,total_pnl
ADAUSDT,864,432,432,50.0,0.021559930555555547,18.627779999999994
ATOMUSDT,840,378,462,45.0,-0.08629235714285716,-72.48558000000001
BATUSDT,858,414,444,48.25,0.061245874125874115,52.548959999999994
BCHUSDT,840,390,450,46.43,-0.030482214285714286,-25.60506
BNBUSDT,840,444,396,52.86,0.11438671428571429,96.08484
BTCUSDT,846,456,390,53.9,0.11188432624113473,94.65413999999998
DASHUSDT,846,366,480,43.26,-0.16635255319148937,-140.73426
ETCUSDT,882,414,468,46.94,-0.02987272108843538,-26.347740000000005
ETHUSDT,894,456,438,51.01,0.011996375838926165,10.724759999999991
IOTAUSDT,846,354,492,41.84,-0.18658468085106383,-157.85064
LINKUSDT,870,420,450,48.28,0.04531241379310344,39.42179999999999
LTCUSDT,840,402,438,47.86,0.015670142857142848,13.162919999999993
ONTUSDT,846,372,474,43.97,-0.08950978723404256,-75.72528
TRXUSDT,828,444,384,53.62,0.15065797101449274,124.7448
VETUSDT,870,348,522,40.0,-0.14188710344827588,-123.44178000000001
XLMUSDT,846,378,468,44.68,-0.11723028368794328,-99.17682
XMRUSDT,786,354,432,45.04,-0.04669793893129772,-36.70458000000001
XRPUSDT,864,426,438,49.31,-0.062328402777777785,-53.85174000000001
XTZUSDT,852,438,414,51.41,-0.00494802816901409,-4.215720000000005
ZECUSDT,864,402,462,46.53,-0.04867527777777779,-42.05544000000001
