model,timeframe,target,variant,features,seq_len,prob_threshold,trades,wins,losses,winrate_%,final_deposit,status
DQN_15m_long_V1.pt,15m,long,1,macd|supertrend,32,0.6,162,124,38,76.54,103.41,✅ ok
DQN_15m_long_V10.pt,15m,long,10,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower,32,0.6,217,158,59,72.81,102.68,✅ ok
DQN_15m_long_V11.pt,15m,long,11,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14,32,0.6,27,21,6,77.78,100.19,✅ ok
DQN_15m_long_V12.pt,15m,long,12,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv,32,0.6,170,125,45,73.53,101.87,✅ ok
DQN_15m_long_V13.pt,15m,long,13,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_down_valid|trend_down_slope|trend_down_confirmed,32,0.6,14,11,3,78.57,99.9,✅ ok
DQN_15m_long_V14.pt,15m,long,14,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_down_valid|trend_down_slope|trend_down_confirmed|pivot|r1|s1|r2|s2,32,0.6,12,8,4,66.67,99.4,✅ ok
DQN_15m_long_V15.pt,15m,long,15,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|stc|mfi_14|obv|cci_20|mom_10|roc_14|zscore_20|sar|pivot|r1|s1|r2|s2|ha_open|ha_close|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_up_angle_deg|trend_up_distance|trend_up_break_above|trend_up_break_below|trend_down_valid|trend_down_slope|trend_down_confirmed|trend_down_angle_deg|trend_down_distance|trend_down_break_above|trend_down_break_below,32,0.6,178,138,40,77.53,103.2,✅ ok
DQN_15m_long_V2.pt,15m,long,2,macd|ema_20,32,0.6,104,71,33,68.27,100.67,✅ ok
DQN_15m_long_V3.pt,15m,long,3,macd|rsi_14,32,0.6,1,1,0,100.0,100.0,✅ ok
DQN_15m_long_V4.pt,15m,long,4,macd|bb_upper|bb_middle|bb_lower,32,0.6,232,168,64,72.41,99.14,✅ ok
DQN_15m_long_V5.pt,15m,long,5,macd|ema_20|rsi_14,32,0.6,24,15,9,62.5,101.71,✅ ok
DQN_15m_long_V6.pt,15m,long,6,macd|ema_20|bb_upper|bb_middle|bb_lower,32,0.6,50,37,13,74.0,100.69,✅ ok
DQN_15m_long_V7.pt,15m,long,7,macd|supertrend|ema_20,32,0.6,175,128,47,73.14,99.66,✅ ok
DQN_15m_long_V8.pt,15m,long,8,macd|supertrend|rsi_14,32,0.6,64,44,20,68.75,101.59,✅ ok
DQN_15m_long_V9.pt,15m,long,9,macd|supertrend|ema_20|rsi_14,32,0.6,53,43,10,81.13,100.19,✅ ok
DQN_15m_short_V1.pt,15m,short,1,macd|supertrend,32,0.6,81,0,81,0.0,78.4,✅ ok
DQN_15m_short_V10.pt,15m,short,10,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower,32,0.6,100,0,100,0.0,74.05,✅ ok
DQN_15m_short_V11.pt,15m,short,11,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14,32,0.6,1,0,1,0.0,99.7,✅ ok
DQN_15m_short_V12.pt,15m,short,12,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv,32,0.6,67,0,67,0.0,81.77,✅ ok
DQN_15m_short_V13.pt,15m,short,13,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_down_valid|trend_down_slope|trend_down_confirmed,32,0.6,117,0,117,0.0,70.36,✅ ok
DQN_15m_short_V14.pt,15m,short,14,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_down_valid|trend_down_slope|trend_down_confirmed|pivot|r1|s1|r2|s2,32,0.6,120,0,120,0.0,69.73,✅ ok
DQN_15m_short_V15.pt,15m,short,15,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|stc|mfi_14|obv|cci_20|mom_10|roc_14|zscore_20|sar|pivot|r1|s1|r2|s2|ha_open|ha_close|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_up_angle_deg|trend_up_distance|trend_up_break_above|trend_up_break_below|trend_down_valid|trend_down_slope|trend_down_confirmed|trend_down_angle_deg|trend_down_distance|trend_down_break_above|trend_down_break_below,32,0.6,20,0,20,0.0,94.17,✅ ok
DQN_15m_short_V2.pt,15m,short,2,macd|ema_20,32,0.6,29,0,29,0.0,91.66,✅ ok
DQN_15m_short_V3.pt,15m,short,3,macd|rsi_14,32,0.6,15,0,15,0.0,95.59,✅ ok
DQN_15m_short_V4.pt,15m,short,4,macd|bb_upper|bb_middle|bb_lower,32,0.6,28,0,28,0.0,91.93,✅ ok
