model,timeframe,target,variant,entry_index,exit_index,entry_time,exit_time,tp_hits,pnl_pct_raw,pnl_pct_leveraged,stake_used,deposit_after,used_m1
DQN_15m_long_V1.pt,15m,long,1,0,40,2020-01-01 06:00:00+00:00,2020-01-01 16:00:00+00:00,1,0.0,0.0,1.0,100.0,False
DQN_15m_long_V1.pt,15m,long,1,6861,6863,2020-03-12 17:15:00+00:00,2020-03-12 17:45:00+00:00,1,0.0,0.0,1.0,100.0,False
DQN_15m_long_V1.pt,15m,long,1,6911,6912,2020-03-13 05:45:00+00:00,2020-03-13 06:00:00+00:00,0,-0.015,-0.3,1.0,99.7,False
DQN_15m_long_V1.pt,15m,long,1,12481,12488,2020-05-10 06:15:00+00:00,2020-05-10 08:00:00+00:00,4,0.02,0.4,1.0,100.1,False
DQN_15m_long_V1.pt,15m,long,1,35463,35465,2021-01-04 15:45:00+00:00,2021-01-04 16:15:00+00:00,0,-0.015,-0.3,1.0,99.8,False
DQN_15m_long_V1.pt,15m,long,1,35540,35542,2021-01-05 11:00:00+00:00,2021-01-05 11:30:00+00:00,1,0.0,0.0,1.0,99.8,False
DQN_15m_long_V1.pt,15m,long,1,35817,35819,2021-01-08 08:15:00+00:00,2021-01-08 08:45:00+00:00,1,0.0,0.0,1.0,99.8,False
DQN_15m_long_V1.pt,15m,long,1,36153,36155,2021-01-11 20:15:00+00:00,2021-01-11 20:45:00+00:00,1,-0.0,-0.0,1.0,99.8,False
DQN_15m_long_V1.pt,15m,long,1,36246,36249,2021-01-12 19:30:00+00:00,2021-01-12 20:15:00+00:00,1,0.0,0.0,1.0,99.8,False
DQN_15m_long_V1.pt,15m,long,1,37092,37097,2021-01-21 15:00:00+00:00,2021-01-21 16:15:00+00:00,3,-0.0,-0.0,1.0,99.8,False
DQN_15m_long_V1.pt,15m,long,1,37900,37903,2021-01-30 01:00:00+00:00,2021-01-30 01:45:00+00:00,2,-0.0,-0.0,1.0,99.8,False
DQN_15m_long_V1.pt,15m,long,1,39464,39471,2021-02-15 08:00:00+00:00,2021-02-15 09:45:00+00:00,2,0.0,0.0,1.0,99.8,False
DQN_15m_long_V1.pt,15m,long,1,41105,41114,2021-03-04 10:15:00+00:00,2021-03-04 12:30:00+00:00,4,0.02,0.4,1.0,100.2,False
DQN_15m_long_V1.pt,15m,long,1,41677,41691,2021-03-10 09:15:00+00:00,2021-03-10 12:45:00+00:00,4,0.02,0.4,1.0,100.6,False
DQN_15m_long_V1.pt,15m,long,1,42241,42246,2021-03-16 06:15:00+00:00,2021-03-16 07:30:00+00:00,4,0.02,0.4,1.01,101.0,False
DQN_15m_long_V1.pt,15m,long,1,45425,45431,2021-04-18 10:15:00+00:00,2021-04-18 11:45:00+00:00,0,-0.015,-0.3,1.01,100.7,False
DQN_15m_long_V1.pt,15m,long,1,47791,47797,2021-05-13 01:45:00+00:00,2021-05-13 03:15:00+00:00,3,0.0,0.0,1.01,100.7,False
DQN_15m_long_V1.pt,15m,long,1,47809,47814,2021-05-13 06:15:00+00:00,2021-05-13 07:30:00+00:00,1,0.0,0.0,1.01,100.7,False
DQN_15m_long_V1.pt,15m,long,1,47876,47878,2021-05-13 23:00:00+00:00,2021-05-13 23:30:00+00:00,1,-0.0,-0.0,1.01,100.7,False
DQN_15m_long_V1.pt,15m,long,1,48341,48348,2021-05-18 19:15:00+00:00,2021-05-18 21:00:00+00:00,4,0.02,0.4,1.01,101.1,False
DQN_15m_long_V1.pt,15m,long,1,48435,48439,2021-05-19 18:45:00+00:00,2021-05-19 19:45:00+00:00,4,0.02,0.4,1.01,101.51,False
DQN_15m_long_V1.pt,15m,long,1,48477,48479,2021-05-20 05:15:00+00:00,2021-05-20 05:45:00+00:00,1,-0.0,-0.0,1.02,101.51,False
DQN_15m_long_V1.pt,15m,long,1,48550,48551,2021-05-20 23:30:00+00:00,2021-05-20 23:45:00+00:00,0,-0.015,-0.3,1.02,101.2,False
DQN_15m_long_V1.pt,15m,long,1,48595,48597,2021-05-21 10:45:00+00:00,2021-05-21 11:15:00+00:00,0,-0.015,-0.3,1.01,100.9,False
DQN_15m_long_V1.pt,15m,long,1,48638,48642,2021-05-21 21:30:00+00:00,2021-05-21 22:30:00+00:00,4,0.02,0.4,1.01,101.3,False
DQN_15m_long_V1.pt,15m,long,1,48690,48694,2021-05-22 10:30:00+00:00,2021-05-22 11:30:00+00:00,4,0.02,0.4,1.01,101.71,False
DQN_15m_long_V1.pt,15m,long,1,52063,52065,2021-06-26 13:45:00+00:00,2021-06-26 14:15:00+00:00,0,-0.015,-0.3,1.02,101.4,False
DQN_15m_long_V1.pt,15m,long,1,54997,55018,2021-07-27 03:15:00+00:00,2021-07-27 08:30:00+00:00,4,0.02,0.4,1.01,101.81,False
DQN_15m_long_V1.pt,15m,long,1,59088,59090,2021-09-07 18:00:00+00:00,2021-09-07 18:30:00+00:00,1,0.0,0.0,1.02,101.81,False
DQN_15m_long_V1.pt,15m,long,1,59103,59110,2021-09-07 21:45:00+00:00,2021-09-07 23:30:00+00:00,4,0.02,0.4,1.02,102.21,False
DQN_15m_long_V1.pt,15m,long,1,60717,60732,2021-09-24 17:15:00+00:00,2021-09-24 21:00:00+00:00,4,0.02,0.4,1.02,102.62,False
DQN_15m_long_V1.pt,15m,long,1,63420,63457,2021-10-22 21:00:00+00:00,2021-10-23 06:15:00+00:00,2,0.0,0.0,1.03,102.62,False
DQN_15m_long_V1.pt,15m,long,1,65270,65291,2021-11-11 03:30:00+00:00,2021-11-11 08:45:00+00:00,2,0.0,0.0,1.03,102.62,False
DQN_15m_long_V1.pt,15m,long,1,67513,67518,2021-12-04 12:15:00+00:00,2021-12-04 13:30:00+00:00,2,0.0,0.0,1.03,102.62,False
DQN_15m_long_V1.pt,15m,long,1,68130,68136,2021-12-10 22:30:00+00:00,2021-12-11 00:00:00+00:00,0,-0.015,-0.3,1.03,102.31,False
DQN_15m_long_V1.pt,15m,long,1,70642,70651,2022-01-06 02:30:00+00:00,2022-01-06 04:45:00+00:00,0,-0.015,-0.3,1.02,102.01,False
DQN_15m_long_V1.pt,15m,long,1,75373,75375,2022-02-24 09:15:00+00:00,2022-02-24 09:45:00+00:00,1,0.0,0.0,1.02,102.01,False
DQN_15m_long_V1.pt,15m,long,1,76492,76495,2022-03-08 01:00:00+00:00,2022-03-08 01:45:00+00:00,1,0.0,0.0,1.02,102.01,False
