timestamp,model,epoch,phase,loss,acc,f1,lr,thr
2025-08-17T14:00:54,LSTM_4h_short_V5,1,train,0.456088,0.497810,0.334504,2.713525e-04,0.5000
2025-08-17T14:00:58,LSTM_4h_short_V5,1,val,0.469437,0.522694,0.504204,2.713525e-04,0.3250
2025-08-17T14:01:03,LSTM_4h_short_V5,2,train,0.450113,0.503268,0.334782,1.963525e-04,0.5000
2025-08-17T14:01:08,LSTM_4h_short_V5,2,val,0.466269,0.558543,0.515773,1.963525e-04,0.3250
2025-08-17T14:01:13,LSTM_4h_short_V5,3,train,0.451026,0.501831,0.334146,1.036475e-04,0.5000
2025-08-17T14:01:18,LSTM_4h_short_V5,3,val,0.470616,0.479329,0.477214,1.036475e-04,0.3250
2025-08-17T14:01:23,LSTM_4h_short_V5,4,train,0.450741,0.498456,0.332646,2.864745e-05,0.5000
2025-08-17T14:01:27,LSTM_4h_short_V5,4,val,0.465288,0.545533,0.502714,2.864745e-05,0.3250
2025-08-17T14:01:32,LSTM_4h_short_V5,5,train,0.450967,0.497953,0.332422,3.000000e-04,0.5000
2025-08-17T14:01:37,LSTM_4h_short_V5,5,val,0.467238,0.525585,0.504224,3.000000e-04,0.3250
2025-08-17T14:01:42,LSTM_4h_short_V5,6,train,0.449089,0.507648,0.336715,2.926585e-04,0.5000
2025-08-17T14:01:47,LSTM_4h_short_V5,6,val,0.476889,0.527320,0.499464,2.926585e-04,0.3000
2025-08-17T14:01:52,LSTM_4h_short_V5,7,train,0.450229,0.500036,0.333349,2.713525e-04,0.5000
2025-08-17T14:01:57,LSTM_4h_short_V5,7,val,0.467284,0.518936,0.495797,2.713525e-04,0.3250
2025-08-17T14:02:02,LSTM_4h_short_V5,8,train,0.449040,0.508438,0.337454,2.381678e-04,0.5000
2025-08-17T14:02:07,LSTM_4h_short_V5,8,val,0.478208,0.522694,0.495291,2.381678e-04,0.3000
2025-08-17T14:02:12,LSTM_4h_short_V5,9,train,0.450534,0.499605,0.333413,1.963525e-04,0.5000
2025-08-17T14:02:17,LSTM_4h_short_V5,9,val,0.471369,0.559410,0.494560,1.963525e-04,0.3000
2025-08-17T14:02:22,LSTM_4h_short_V5,10,train,0.450387,0.498312,0.333090,1.500000e-04,0.5000
2025-08-17T14:02:27,LSTM_4h_short_V5,10,val,0.473874,0.545244,0.499087,1.500000e-04,0.3000
2025-08-17T14:02:32,LSTM_4h_short_V5,11,train,0.449469,0.503627,0.335199,1.036475e-04,0.5000
2025-08-17T14:02:36,LSTM_4h_short_V5,11,val,0.474000,0.546401,0.499584,1.036475e-04,0.3000
2025-08-17T14:02:41,LSTM_4h_short_V5,12,train,0.451178,0.492352,0.330042,6.183221e-05,0.5000
2025-08-17T14:02:46,LSTM_4h_short_V5,12,val,0.471404,0.514021,0.495660,6.183221e-05,0.3250
2025-08-17T14:02:51,LSTM_4h_short_V5,13,train,0.450672,0.497594,0.333148,2.864745e-05,0.5000
2025-08-17T14:02:56,LSTM_4h_short_V5,13,val,0.472204,0.556230,0.495972,2.864745e-05,0.3000
2025-08-17T14:03:01,LSTM_4h_short_V5,14,train,0.450092,0.496445,0.333387,7.341523e-06,0.5000
2025-08-17T14:03:06,LSTM_4h_short_V5,14,val,0.471124,0.515178,0.495207,7.341523e-06,0.3250
