epoch,train_loss,val_loss,val_acc,val_f1,best_f1
1,0.378544,0.233376,0.634727,0.766624,0.766624
2,0.370957,0.360118,0.541363,0.639882,0.766624
3,0.370774,0.219935,0.647408,0.780065,0.780065
4,0.370617,0.258803,0.611552,0.741197,0.780065
5,0.371526,0.345666,0.549225,0.654334,0.780065
6,0.369118,0.256237,0.614238,0.743763,0.780065
7,0.369619,0.349699,0.547399,0.650301,0.780065
8,0.369932,0.258580,0.611767,0.741420,0.780065
9,0.369104,0.258546,0.611785,0.741454,0.780065
10,0.370886,0.345970,0.549548,0.654030,0.780065
11,0.368003,0.213269,0.653640,0.786731,0.786731
12,0.369610,0.259534,0.611552,0.740466,0.786731
13,0.368822,0.259082,0.611964,0.740918,0.786731
14,0.369113,0.210569,0.656309,0.789431,0.789431
15,0.368397,0.212484,0.654446,0.787516,0.789431
16,0.367892,0.337919,0.553900,0.662081,0.789431
17,0.367332,0.257582,0.613200,0.742418,0.789431
18,0.367578,0.255470,0.614991,0.744530,0.789431
19,0.366450,0.257582,0.613200,0.742418,0.789431
20,0.367529,0.257292,0.613737,0.742708,0.789431
21,0.368769,0.257527,0.613325,0.742473,0.789431
22,0.366974,0.342686,0.551124,0.657314,0.789431
23,0.365958,0.257697,0.613092,0.742303,0.789431
24,0.367475,0.378421,0.531011,0.621579,0.789431
25,0.367072,0.209049,0.657742,0.790951,0.790951
26,0.367081,0.208739,0.658100,0.791261,0.791261
27,0.367162,0.212007,0.655055,0.787993,0.791261
28,0.366012,0.257749,0.613235,0.742251,0.791261
29,0.366388,0.344111,0.550927,0.655889,0.791261
30,0.367413,0.252083,0.617408,0.747917,0.791261
31,0.366415,0.209218,0.657401,0.790782,0.791261
32,0.365962,0.252065,0.617444,0.747935,0.791261
33,0.366307,0.209151,0.657473,0.790849,0.791261
34,0.366043,0.254575,0.615528,0.745425,0.791261
35,0.365788,0.280812,0.595075,0.719188,0.791261
36,0.365161,0.255133,0.615009,0.744867,0.791261
37,0.366177,0.209138,0.657491,0.790862,0.791261
38,0.365819,0.208754,0.657992,0.791246,0.791261
