epoch,train_loss,val_loss,val_acc,val_f1,best_f1
1,0.591028,0.197826,0.669691,0.802174,0.802174
2,0.503920,0.197826,0.669691,0.802174,0.802174
3,0.446864,0.197826,0.669691,0.802174,0.802174
4,0.425087,0.197826,0.669691,0.802174,0.802174
5,0.397648,0.197826,0.669691,0.802174,0.802174
6,0.361934,0.197826,0.669691,0.802174,0.802174
7,0.344077,0.197826,0.669691,0.802174,0.802174
8,0.324477,0.197826,0.669691,0.802174,0.802174
9,0.329268,0.197826,0.669691,0.802174,0.802174
10,0.313153,0.197826,0.669691,0.802174,0.802174
11,0.285279,0.197826,0.669691,0.802174,0.802174
12,0.292683,0.197826,0.669691,0.802174,0.802174
13,0.293118,0.197826,0.669691,0.802174,0.802174
