epoch,train_loss,val_loss,val_acc,val_f1,best_f1
1,0.509582,0.497364,0.486388,0.502636,0.502636
2,0.418990,0.480207,0.493648,0.519793,0.519793
3,0.403310,0.474576,0.491833,0.525424,0.525424
4,0.405052,0.312155,0.589837,0.687845,0.687845
5,0.383275,0.312155,0.589837,0.687845,0.687845
6,0.384146,0.310345,0.591652,0.689655,0.689655
7,0.367596,0.310345,0.591652,0.689655,0.689655
8,0.374564,0.255189,0.620690,0.744811,0.744811
9,0.373258,0.255189,0.620690,0.744811,0.744811
10,0.354530,0.255189,0.620690,0.744811,0.744811
11,0.361934,0.255189,0.620690,0.744811,0.744811
12,0.354530,0.255189,0.620690,0.744811,0.744811
13,0.365418,0.255189,0.620690,0.744811,0.744811
14,0.358449,0.255189,0.620690,0.744811,0.744811
15,0.347997,0.254902,0.622505,0.745098,0.745098
16,0.353659,0.215333,0.653358,0.784667,0.784667
17,0.348868,0.215333,0.653358,0.784667,0.784667
18,0.355836,0.215333,0.653358,0.784667,0.784667
19,0.354530,0.215333,0.653358,0.784667,0.784667
20,0.362369,0.215333,0.653358,0.784667,0.784667
21,0.349303,0.215333,0.653358,0.784667,0.784667
22,0.354530,0.215333,0.653358,0.784667,0.784667
23,0.347997,0.215333,0.653358,0.784667,0.784667
24,0.351916,0.217098,0.649728,0.782902,0.784667
25,0.347561,0.217098,0.649728,0.782902,0.784667
26,0.350174,0.217098,0.649728,0.782902,0.784667
27,0.343206,0.217098,0.649728,0.782902,0.784667
28,0.347997,0.217098,0.649728,0.782902,0.784667
