epoch,train_loss,val_loss,val_acc,val_f1,best_f1
1,0.581436,0.204098,0.662221,0.795902,0.795902
2,0.500578,0.203783,0.662472,0.796217,0.796217
3,0.457959,0.203636,0.662651,0.796364,0.796364
4,0.429678,0.203565,0.662687,0.796435,0.796435
5,0.407872,0.203478,0.662759,0.796522,0.796522
6,0.389442,0.203339,0.662938,0.796661,0.796661
7,0.374191,0.203017,0.663261,0.796983,0.796983
8,0.360749,0.202939,0.663297,0.797061,0.797061
9,0.349116,0.202913,0.663333,0.797087,0.797087
10,0.341172,0.202835,0.663440,0.797165,0.797165
11,0.332459,0.202835,0.663440,0.797165,0.797165
12,0.327336,0.202835,0.663440,0.797165,0.797165
13,0.319724,0.202800,0.663476,0.797200,0.797200
14,0.313993,0.202791,0.663476,0.797209,0.797209
15,0.309300,0.202652,0.663655,0.797348,0.797348
16,0.305924,0.202627,0.663691,0.797373,0.797373
17,0.299422,0.202627,0.663691,0.797373,0.797373
18,0.299575,0.202609,0.663691,0.797391,0.797391
19,0.294282,0.202609,0.663691,0.797391,0.797391
20,0.290610,0.202626,0.663655,0.797374,0.797391
21,0.287951,0.202540,0.663763,0.797460,0.797460
22,0.285434,0.202557,0.663727,0.797443,0.797460
23,0.285542,0.202505,0.663799,0.797495,0.797495
24,0.281413,0.202444,0.663870,0.797556,0.797556
25,0.279676,0.202444,0.663870,0.797556,0.797556
26,0.279318,0.202418,0.663906,0.797582,0.797582
27,0.275932,0.202418,0.663906,0.797582,0.797582
28,0.275162,0.202418,0.663906,0.797582,0.797582
29,0.274759,0.202435,0.663870,0.797565,0.797582
30,0.273586,0.202435,0.663870,0.797565,0.797582
31,0.271831,0.202427,0.663870,0.797573,0.797582
32,0.271482,0.202427,0.663870,0.797573,0.797582
33,0.270085,0.202401,0.663906,0.797599,0.797599
34,0.267900,0.202375,0.663942,0.797625,0.797625
35,0.266950,0.202375,0.663942,0.797625,0.797625
36,0.267541,0.202375,0.663942,0.797625,0.797625
37,0.266897,0.202375,0.663942,0.797625,0.797625
38,0.266852,0.202375,0.663942,0.797625,0.797625
39,0.265329,0.202375,0.663942,0.797625,0.797625
40,0.264443,0.202375,0.663942,0.797625,0.797625
41,0.265114,0.202375,0.663942,0.797625,0.797625
42,0.263234,0.202375,0.663942,0.797625,0.797625
43,0.263538,0.202392,0.663906,0.797608,0.797625
44,0.261908,0.202392,0.663906,0.797608,0.797625
45,0.261783,0.202392,0.663906,0.797608,0.797625
46,0.262249,0.202357,0.663942,0.797643,0.797643
47,0.262571,0.202357,0.663942,0.797643,0.797643
48,0.260377,0.202331,0.663978,0.797669,0.797669
49,0.260610,0.202331,0.663978,0.797669,0.797669
50,0.260834,0.202331,0.663978,0.797669,0.797669
51,0.259634,0.202331,0.663978,0.797669,0.797669
52,0.260073,0.202331,0.663978,0.797669,0.797669
53,0.258326,0.202331,0.663978,0.797669,0.797669
54,0.258264,0.202331,0.663978,0.797669,0.797669
55,0.261532,0.202331,0.663978,0.797669,0.797669
56,0.257458,0.202331,0.663978,0.797669,0.797669
57,0.257825,0.202305,0.664014,0.797695,0.797695
58,0.257878,0.202228,0.664121,0.797772,0.797772
59,0.256284,0.202202,0.664157,0.797798,0.797798
60,0.257207,0.202202,0.664157,0.797798,0.797798
61,0.257135,0.202202,0.664157,0.797798,0.797798
62,0.256472,0.202202,0.664157,0.797798,0.797798
63,0.256616,0.202202,0.664157,0.797798,0.797798
64,0.256329,0.202279,0.664050,0.797721,0.797798
65,0.255962,0.202271,0.664050,0.797729,0.797798
66,0.255729,0.202271,0.664050,0.797729,0.797798
67,0.255649,0.202271,0.664050,0.797729,0.797798
68,0.254395,0.202271,0.664050,0.797729,0.797798
69,0.255478,0.202271,0.664050,0.797729,0.797798
70,0.254332,0.202271,0.664050,0.797729,0.797798
71,0.254001,0.202271,0.664050,0.797729,0.797798
