epoch,train_loss,val_loss,val_acc,val_f1,best_f1
1,0.409120,0.379750,0.517491,0.620250,0.620250
2,0.375440,0.376105,0.520382,0.623895,0.623895
3,0.371777,0.372629,0.522984,0.627371,0.627371
4,0.369336,0.374180,0.521538,0.625820,0.627371
5,0.370916,0.337360,0.547846,0.662640,0.662640
6,0.365386,0.322335,0.559410,0.677665,0.677665
7,0.367899,0.336686,0.554785,0.663314,0.677665
8,0.359354,0.331017,0.559410,0.668983,0.677665
9,0.362729,0.278458,0.599017,0.721542,0.721542
10,0.363088,0.273598,0.603643,0.726402,0.726402
11,0.365386,0.280419,0.597572,0.719581,0.726402
12,0.363160,0.277176,0.600463,0.722824,0.726402
13,0.358492,0.277176,0.600463,0.722824,0.726402
14,0.362801,0.278458,0.599017,0.721542,0.726402
15,0.356338,0.277945,0.599595,0.722055,0.726402
16,0.363232,0.284066,0.594391,0.715934,0.726402
17,0.356338,0.277845,0.600463,0.722155,0.726402
18,0.360072,0.279131,0.599017,0.720869,0.726402
19,0.356912,0.273852,0.603354,0.726148,0.726402
20,0.358851,0.273852,0.603354,0.726148,0.726402
21,0.355476,0.271099,0.606245,0.728901,0.728901
22,0.357343,0.275931,0.601619,0.724069,0.728901
23,0.357702,0.271099,0.606245,0.728901,0.728901
24,0.360144,0.273890,0.603932,0.726110,0.728901
25,0.354973,0.289431,0.588320,0.710569,0.728901
26,0.354542,0.279131,0.599017,0.720869,0.728901
27,0.357127,0.276664,0.601041,0.723336,0.728901
28,0.354973,0.276664,0.601041,0.723336,0.728901
29,0.360072,0.271821,0.605666,0.728179,0.728901
30,0.357056,0.269078,0.608557,0.730922,0.730922
31,0.357199,0.269078,0.608557,0.730922,0.730922
32,0.357846,0.279952,0.598728,0.720048,0.730922
33,0.353752,0.275165,0.602486,0.724835,0.730922
34,0.355763,0.276664,0.601041,0.723336,0.730922
35,0.354829,0.276664,0.601041,0.723336,0.730922
36,0.354470,0.273890,0.603932,0.726110,0.730922
37,0.357056,0.274400,0.603354,0.725600,0.730922
38,0.356050,0.277945,0.599595,0.722055,0.730922
39,0.355835,0.277945,0.599595,0.722055,0.730922
40,0.357558,0.362384,0.535993,0.637616,0.730922
41,0.357630,0.276664,0.601041,0.723336,0.730922
42,0.356697,0.271821,0.605666,0.728179,0.730922
