epoch,train_loss,val_loss,val_acc,val_f1,best_f1
1,0.412855,0.284822,0.591500,0.715178,0.715178
2,0.375224,0.222566,0.646430,0.777434,0.777434
3,0.363591,0.221920,0.646430,0.778080,0.778080
4,0.352962,0.221338,0.646141,0.778662,0.778662
5,0.356768,0.221980,0.646141,0.778020,0.778662
6,0.355189,0.219459,0.647875,0.780541,0.780541
7,0.350521,0.219240,0.648164,0.780760,0.780760
8,0.353106,0.220455,0.647297,0.779545,0.780760
9,0.355907,0.219820,0.647297,0.780180,0.780760
10,0.348151,0.218536,0.649610,0.781464,0.781464
11,0.356481,0.218536,0.649610,0.781464,0.781464
12,0.349731,0.217767,0.649899,0.782233,0.782233
13,0.349803,0.217767,0.649899,0.782233,0.782233
14,0.348007,0.218536,0.649610,0.781464,0.782233
15,0.350521,0.217235,0.650188,0.782765,0.782765
16,0.350233,0.218958,0.648742,0.781042,0.782765
17,0.352819,0.218188,0.649032,0.781812,0.782765
18,0.346284,0.218188,0.649032,0.781812,0.782765
19,0.343770,0.219099,0.648453,0.780901,0.782765
20,0.347217,0.219099,0.648453,0.780901,0.782765
21,0.344776,0.218032,0.649032,0.781968,0.782765
22,0.346355,0.218801,0.648742,0.781199,0.782765
23,0.346858,0.218032,0.649032,0.781968,0.782765
24,0.349659,0.218801,0.648742,0.781199,0.782765
25,0.345853,0.218801,0.648742,0.781199,0.782765
26,0.341472,0.218660,0.649032,0.781340,0.782765
27,0.349443,0.217891,0.649321,0.782109,0.782765
