epoch,train_loss,val_loss,val_acc,val_f1,best_f1
1,0.695272,0.725907,0.335847,0.000000,0.000000
2,0.693434,0.700110,0.385708,0.244199,0.244199
3,0.693267,0.688135,0.664153,0.798188,0.798188
4,0.693218,0.690255,0.664153,0.798188,0.798188
5,0.693240,0.702392,0.335847,0.000000,0.798188
6,0.693245,0.696913,0.335847,0.000000,0.798188
7,0.693210,0.689759,0.664153,0.798188,0.798188
8,0.693212,0.701896,0.335847,0.000000,0.798188
9,0.693231,0.696179,0.335847,0.000000,0.798188
10,0.693218,0.692888,0.664153,0.798188,0.798188
11,0.693228,0.689225,0.664153,0.798188,0.798188
12,0.693214,0.693009,0.664153,0.798188,0.798188
13,0.693192,0.697442,0.335847,0.000000,0.798188
14,0.693206,0.693897,0.335847,0.000000,0.798188
15,0.693213,0.691535,0.664153,0.798188,0.798188
