epoch,train_loss,val_loss,val_acc,val_f1,best_f1
1,0.695130,0.687687,0.657742,0.791862,0.791862
2,0.693353,0.682631,0.652584,0.786102,0.791862
3,0.693321,0.677457,0.664744,0.798614,0.798614
4,0.693266,0.683963,0.664744,0.798614,0.798614
5,0.693182,0.697883,0.335256,0.000000,0.798614
6,0.693190,0.689884,0.660858,0.795056,0.798614
7,0.693246,0.692387,0.664744,0.798614,0.798614
8,0.693251,0.686818,0.664744,0.798614,0.798614
9,0.693221,0.685679,0.664744,0.798614,0.798614
10,0.693218,0.695673,0.511722,0.594753,0.798614
11,0.693227,0.694081,0.335256,0.000000,0.798614
12,0.693250,0.693845,0.335256,0.000000,0.798614
13,0.693229,0.695991,0.335256,0.000000,0.798614
14,0.693206,0.686293,0.664744,0.798614,0.798614
15,0.693224,0.689186,0.664744,0.798614,0.798614
