epoch,train_loss,val_loss,val_acc,val_f1,best_f1
1,0.794033,0.663484,0.598911,0.704940,0.704940
2,0.700135,0.679554,0.551724,0.659310,0.704940
3,0.686023,0.700934,0.522686,0.605697,0.704940
4,0.687438,0.707395,0.435572,0.416510,0.704940
5,0.687445,0.715407,0.422868,0.326271,0.704940
6,0.683268,0.809037,0.352087,0.082262,0.704940
7,0.695355,0.663628,0.611615,0.733167,0.733167
8,0.677155,0.700397,0.546279,0.663978,0.733167
9,0.682713,0.736385,0.417423,0.321353,0.733167
10,0.677178,0.724045,0.455535,0.425287,0.733167
11,0.674309,0.707791,0.495463,0.544262,0.733167
12,0.675242,0.671955,0.539020,0.631884,0.733167
13,0.677552,0.687901,0.528131,0.613095,0.733167
14,0.672331,0.676212,0.560799,0.658192,0.733167
15,0.663067,0.736950,0.484574,0.537459,0.733167
16,0.658789,0.724111,0.524501,0.600610,0.733167
17,0.657926,0.721510,0.535390,0.638418,0.733167
18,0.660238,0.711045,0.499093,0.549020,0.733167
19,0.668970,0.832098,0.422868,0.402256,0.733167
