epoch,train_loss,val_loss,val_acc,val_f1,best_f1
1,0.752416,0.698886,0.633394,0.775556,0.775556
2,0.701715,0.728530,0.366606,0.000000,0.775556
3,0.692927,0.663537,0.633394,0.775556,0.775556
4,0.686631,0.695134,0.531760,0.622807,0.775556
5,0.689661,0.671427,0.597096,0.740047,0.775556
6,0.689877,0.661039,0.633394,0.775556,0.775556
7,0.689408,0.680352,0.575318,0.713235,0.775556
8,0.679076,0.696676,0.500907,0.587706,0.775556
9,0.671741,0.675069,0.604356,0.745327,0.775556
10,0.677702,0.665072,0.624319,0.762342,0.775556
11,0.675258,0.665270,0.606171,0.750861,0.775556
12,0.672671,0.689765,0.597096,0.738208,0.775556
13,0.662322,0.675215,0.618875,0.754098,0.775556
14,0.688450,0.678114,0.580762,0.705732,0.775556
15,0.660877,0.702377,0.598911,0.739694,0.775556
16,0.656298,0.663186,0.633394,0.775556,0.775556
17,0.648378,0.694406,0.597096,0.738824,0.775556
18,0.634211,0.727927,0.617060,0.756632,0.775556
