epoch,train_loss,val_loss,val_acc,val_f1,best_f1
1,0.703665,0.650729,0.693553,0.819051,0.819051
2,0.695752,0.716378,0.332755,0.087747,0.819051
3,0.695018,0.695760,0.443770,0.446172,0.819051
4,0.695022,0.697903,0.404163,0.343421,0.819051
5,0.692646,0.707614,0.359642,0.209211,0.819051
6,0.693131,0.670841,0.691529,0.817326,0.819051
7,0.691523,0.750549,0.338537,0.124043,0.819051
8,0.692261,0.738531,0.357907,0.203657,0.819051
9,0.693326,0.687491,0.669269,0.797665,0.819051
10,0.692565,0.696117,0.366580,0.236851,0.819051
11,0.692912,0.671025,0.687193,0.814025,0.819051
12,0.692708,0.711666,0.370627,0.248533,0.819051
13,0.692098,0.702640,0.382191,0.288852,0.819051
