epoch,train_loss,val_loss,val_acc,val_f1,best_f1
1,0.707903,0.692072,0.527320,0.625601,0.625601
2,0.692424,0.675386,0.629084,0.764111,0.764111
3,0.693186,0.673611,0.647008,0.783242,0.783242
4,0.693663,0.670240,0.663487,0.796004,0.796004
5,0.690765,0.657958,0.664065,0.798124,0.798124
6,0.688762,0.676314,0.636311,0.769259,0.798124
7,0.690638,0.683922,0.530789,0.633552,0.798124
8,0.687148,0.713540,0.424111,0.407496,0.798124
9,0.688756,0.691040,0.479907,0.542588,0.798124
10,0.683303,0.720507,0.430760,0.415206,0.798124
11,0.682150,0.735420,0.340850,0.057072,0.798124
12,0.685393,0.672368,0.613183,0.741599,0.798124
13,0.684255,0.680237,0.636022,0.768864,0.798124
14,0.680569,0.755916,0.352125,0.132404,0.798124
15,0.684715,0.702288,0.455912,0.507072,0.798124
16,0.678856,0.689566,0.520671,0.617620,0.798124
17,0.679114,0.696096,0.490893,0.552478,0.798124
