iter,train_logloss,val_logloss,val_acc,val_f1,best_f1
1,0.627621,0.638196,0.664877,0.798710,0.798710
2,0.627554,0.638173,0.664877,0.798710,0.798710
3,0.627494,0.638157,0.664877,0.798710,0.798710
4,0.627485,0.638146,0.664877,0.798710,0.798710
5,0.627477,0.638146,0.664877,0.798710,0.798710
6,0.627420,0.638135,0.664877,0.798710,0.798710
7,0.627402,0.638131,0.664877,0.798710,0.798710
8,0.627382,0.638137,0.664877,0.798710,0.798710
9,0.627371,0.638134,0.664877,0.798710,0.798710
10,0.627352,0.638138,0.664877,0.798710,0.798710
11,0.627336,0.638136,0.664877,0.798710,0.798710
12,0.627284,0.638123,0.664877,0.798710,0.798710
13,0.627275,0.638124,0.664877,0.798710,0.798710
14,0.627266,0.638125,0.664877,0.798710,0.798710
15,0.627248,0.638123,0.664877,0.798710,0.798710
16,0.627201,0.638114,0.664877,0.798710,0.798710
17,0.627160,0.638108,0.664877,0.798710,0.798710
18,0.627124,0.638104,0.664877,0.798710,0.798710
19,0.627113,0.638099,0.664877,0.798710,0.798710
20,0.627103,0.638106,0.664877,0.798710,0.798710
21,0.627069,0.638109,0.664877,0.798710,0.798710
22,0.627037,0.638111,0.664877,0.798710,0.798710
23,0.627007,0.638116,0.664877,0.798710,0.798710
24,0.627000,0.638116,0.664877,0.798710,0.798710
25,0.626971,0.638121,0.664877,0.798710,0.798710
26,0.626956,0.638128,0.664877,0.798710,0.798710
27,0.626943,0.638134,0.664877,0.798710,0.798710
28,0.626935,0.638138,0.664877,0.798710,0.798710
29,0.626909,0.638149,0.664877,0.798710,0.798710
30,0.626898,0.638145,0.664877,0.798710,0.798710
31,0.626873,0.638153,0.664877,0.798710,0.798710
32,0.626850,0.638161,0.664877,0.798710,0.798710
33,0.626837,0.638164,0.664877,0.798710,0.798710
34,0.626816,0.638173,0.664877,0.798710,0.798710
35,0.626803,0.638171,0.664877,0.798710,0.798710
36,0.626784,0.638173,0.664877,0.798710,0.798710
37,0.626775,0.638176,0.664877,0.798710,0.798710
38,0.626764,0.638179,0.664877,0.798710,0.798710
39,0.626755,0.638179,0.664877,0.798710,0.798710
40,0.626737,0.638182,0.664877,0.798710,0.798710
41,0.626726,0.638189,0.664877,0.798710,0.798710
