iter,train_logloss,val_logloss,val_acc,val_f1,best_f1
1,0.624118,0.635487,0.670103,0.802469,0.802469
2,0.619481,0.634104,0.670103,0.802469,0.802469
3,0.615046,0.634193,0.670103,0.802469,0.802469
4,0.609147,0.634369,0.670103,0.802469,0.802469
5,0.605446,0.634103,0.670103,0.802469,0.802469
6,0.601463,0.634306,0.670103,0.802469,0.802469
7,0.597670,0.635100,0.670103,0.802469,0.802469
8,0.593941,0.635975,0.670103,0.802469,0.802469
9,0.590756,0.636327,0.670103,0.802469,0.802469
10,0.587614,0.636872,0.670103,0.802469,0.802469
11,0.584146,0.636993,0.670103,0.802469,0.802469
12,0.580227,0.636932,0.670103,0.802469,0.802469
13,0.576500,0.637509,0.670103,0.802469,0.802469
14,0.572072,0.637763,0.670103,0.802469,0.802469
15,0.568263,0.638308,0.670103,0.802469,0.802469
16,0.564824,0.638272,0.670103,0.802469,0.802469
17,0.560281,0.639598,0.670103,0.802469,0.802469
18,0.557601,0.639929,0.670103,0.802469,0.802469
19,0.554767,0.640173,0.670103,0.802469,0.802469
20,0.550544,0.643070,0.670103,0.802469,0.802469
21,0.547290,0.643529,0.670103,0.802469,0.802469
22,0.545645,0.646681,0.670103,0.802469,0.802469
23,0.543230,0.647211,0.670103,0.802469,0.802469
24,0.539490,0.649222,0.670103,0.802469,0.802469
25,0.537959,0.649298,0.670103,0.802469,0.802469
26,0.536529,0.650637,0.668385,0.801236,0.802469
27,0.534048,0.650284,0.670103,0.802469,0.802469
28,0.532164,0.651709,0.668385,0.801236,0.802469
29,0.529701,0.654586,0.664948,0.797927,0.802469
30,0.525913,0.654545,0.664948,0.797927,0.802469
31,0.523579,0.657091,0.651203,0.787435,0.802469
32,0.520622,0.657918,0.642612,0.781053,0.802469
33,0.516166,0.660415,0.640893,0.777423,0.802469
34,0.514544,0.661212,0.635739,0.774947,0.802469
35,0.512879,0.662440,0.637457,0.774813,0.802469
36,0.510308,0.663367,0.635739,0.773019,0.802469
37,0.508430,0.668647,0.604811,0.736842,0.802469
38,0.505581,0.668881,0.603093,0.736000,0.802469
39,0.504508,0.671507,0.587629,0.711538,0.802469
40,0.503232,0.674616,0.560137,0.672634,0.802469
41,0.500846,0.676243,0.567010,0.671875,0.802469
