iter,train_logloss,val_logloss,val_acc,val_f1,best_f1
1,0.628192,0.658899,0.635739,0.777311,0.777311
2,0.623220,0.659133,0.635739,0.777311,0.777311
3,0.618508,0.659397,0.635739,0.777311,0.777311
4,0.614796,0.659561,0.635739,0.777311,0.777311
5,0.610939,0.660091,0.635739,0.777311,0.777311
6,0.607159,0.660599,0.635739,0.777311,0.777311
7,0.603265,0.661298,0.635739,0.777311,0.777311
8,0.599993,0.662023,0.635739,0.777311,0.777311
9,0.596337,0.661187,0.635739,0.777311,0.777311
10,0.592210,0.662062,0.635739,0.777311,0.777311
11,0.588748,0.662557,0.635739,0.777311,0.777311
12,0.585804,0.662834,0.635739,0.777311,0.777311
13,0.582766,0.664148,0.635739,0.777311,0.777311
14,0.580687,0.666518,0.635739,0.777311,0.777311
15,0.577387,0.666415,0.635739,0.777311,0.777311
16,0.574712,0.666756,0.635739,0.777311,0.777311
17,0.572533,0.668351,0.635739,0.777311,0.777311
18,0.570106,0.668997,0.635739,0.777311,0.777311
19,0.568244,0.669890,0.635739,0.777311,0.777311
20,0.565935,0.670186,0.635739,0.777311,0.777311
21,0.564030,0.672340,0.635739,0.777311,0.777311
22,0.561268,0.672476,0.635739,0.777311,0.777311
23,0.558562,0.673464,0.635739,0.777311,0.777311
24,0.556764,0.674372,0.635739,0.777311,0.777311
25,0.555089,0.675543,0.635739,0.777311,0.777311
26,0.553573,0.675690,0.635739,0.777311,0.777311
27,0.551966,0.676596,0.635739,0.777311,0.777311
28,0.548810,0.676881,0.635739,0.777311,0.777311
29,0.546788,0.678393,0.634021,0.776025,0.777311
30,0.544280,0.679179,0.634021,0.776025,0.777311
31,0.542241,0.680674,0.634021,0.776025,0.777311
32,0.540447,0.681547,0.634021,0.776025,0.777311
33,0.538798,0.681944,0.634021,0.776025,0.777311
34,0.536342,0.681772,0.634021,0.776025,0.777311
35,0.534736,0.682330,0.634021,0.776025,0.777311
36,0.533177,0.682147,0.634021,0.776025,0.777311
37,0.531367,0.683080,0.634021,0.776025,0.777311
38,0.528904,0.683369,0.634021,0.776025,0.777311
39,0.528361,0.685994,0.634021,0.776025,0.777311
40,0.526913,0.686712,0.634021,0.776025,0.777311
41,0.523969,0.686670,0.634021,0.776025,0.777311
