iter,train_logloss,val_logloss,val_acc,val_f1,best_f1
1,0.628654,0.634495,0.669724,0.802197,0.802197
2,0.628029,0.634564,0.669724,0.802197,0.802197
3,0.627486,0.634603,0.669724,0.802197,0.802197
4,0.626954,0.634724,0.669724,0.802197,0.802197
5,0.626500,0.634900,0.669724,0.802197,0.802197
6,0.626013,0.634986,0.669724,0.802197,0.802197
7,0.625507,0.635002,0.669724,0.802197,0.802197
8,0.625048,0.635229,0.669724,0.802197,0.802197
9,0.624629,0.635424,0.669724,0.802197,0.802197
10,0.624283,0.635866,0.669724,0.802197,0.802197
11,0.623858,0.636062,0.669724,0.802197,0.802197
12,0.623382,0.636404,0.669724,0.802197,0.802197
13,0.622992,0.636430,0.669724,0.802197,0.802197
14,0.622622,0.636631,0.669724,0.802197,0.802197
15,0.622275,0.636739,0.669724,0.802197,0.802197
16,0.621913,0.637173,0.669724,0.802197,0.802197
17,0.621508,0.637175,0.669724,0.802197,0.802197
18,0.621196,0.637679,0.669724,0.802197,0.802197
19,0.620873,0.637656,0.669724,0.802197,0.802197
20,0.620566,0.637659,0.669724,0.802197,0.802197
21,0.620137,0.638463,0.669724,0.802197,0.802197
22,0.619768,0.638580,0.669724,0.802197,0.802197
23,0.619413,0.638628,0.669724,0.802197,0.802197
24,0.619130,0.638662,0.669724,0.802197,0.802197
25,0.618800,0.638787,0.669796,0.802232,0.802232
26,0.618559,0.638831,0.669796,0.802198,0.802232
27,0.618304,0.638900,0.669796,0.802198,0.802232
28,0.618053,0.639964,0.669724,0.802010,0.802232
29,0.617806,0.639984,0.669724,0.802010,0.802232
30,0.617430,0.640322,0.669294,0.801514,0.802232
31,0.617157,0.640467,0.669223,0.801479,0.802232
32,0.616828,0.640409,0.669366,0.801583,0.802232
33,0.616539,0.640729,0.669366,0.801548,0.802232
34,0.616159,0.640701,0.669366,0.801548,0.802232
35,0.615856,0.640756,0.669223,0.801462,0.802232
36,0.615573,0.640685,0.669223,0.801462,0.802232
37,0.615261,0.641964,0.668291,0.800397,0.802232
38,0.615096,0.643331,0.664923,0.797646,0.802232
39,0.614870,0.643637,0.664565,0.797298,0.802232
40,0.614600,0.644416,0.663705,0.796426,0.802232
41,0.614398,0.645352,0.661125,0.793863,0.802232
42,0.614212,0.645390,0.661125,0.793827,0.802232
43,0.613945,0.645400,0.661125,0.793809,0.802232
44,0.613592,0.645995,0.659119,0.791606,0.802232
45,0.613346,0.646032,0.658259,0.791007,0.802232
46,0.613115,0.646074,0.658259,0.790971,0.802232
47,0.612908,0.646457,0.655607,0.788766,0.802232
48,0.612586,0.646736,0.654389,0.787841,0.802232
49,0.612351,0.646706,0.654246,0.787660,0.802232
50,0.612216,0.647467,0.652741,0.785765,0.802232
51,0.611861,0.647452,0.652813,0.785818,0.802232
52,0.611719,0.648235,0.652956,0.785661,0.802232
53,0.611397,0.648271,0.652669,0.785332,0.802232
54,0.611135,0.648473,0.652024,0.784847,0.802232
55,0.610912,0.648613,0.651809,0.784571,0.802232
56,0.610683,0.648682,0.651523,0.784317,0.802232
57,0.610374,0.650492,0.647868,0.780488,0.802232
58,0.609996,0.650546,0.647940,0.780464,0.802232
59,0.609634,0.650594,0.647653,0.780226,0.802232
60,0.609421,0.651018,0.646937,0.779266,0.802232
61,0.609169,0.651000,0.646865,0.779251,0.802232
62,0.609039,0.652075,0.643712,0.776559,0.802232
63,0.608707,0.652181,0.644070,0.776854,0.802232
64,0.608331,0.653331,0.641132,0.773639,0.802232
65,0.607942,0.653324,0.641276,0.773750,0.802232
