iter,train_logloss,val_logloss,val_acc,val_f1,best_f1
1,0.623789,0.641603,0.661125,0.795997,0.795997
2,0.623398,0.642257,0.661125,0.795997,0.795997
3,0.623063,0.642630,0.661125,0.795997,0.795997
4,0.622691,0.642945,0.661125,0.795997,0.795997
5,0.622368,0.643750,0.661125,0.795997,0.795997
6,0.621973,0.644051,0.661125,0.795997,0.795997
7,0.621694,0.644363,0.661125,0.795997,0.795997
8,0.621381,0.644589,0.661125,0.795997,0.795997
9,0.621137,0.644935,0.661125,0.795997,0.795997
10,0.620836,0.645254,0.661125,0.795997,0.795997
11,0.620509,0.646342,0.661125,0.795997,0.795997
12,0.620253,0.647032,0.661125,0.795997,0.795997
13,0.619965,0.647556,0.661125,0.795997,0.795997
14,0.619630,0.647706,0.661125,0.795997,0.795997
15,0.619417,0.647997,0.661125,0.795997,0.795997
16,0.619212,0.648412,0.661125,0.795997,0.795997
17,0.618989,0.649244,0.661125,0.795997,0.795997
18,0.618784,0.649527,0.661125,0.795997,0.795997
19,0.618539,0.650394,0.661125,0.795997,0.795997
20,0.618325,0.650932,0.661125,0.795997,0.795997
21,0.618161,0.651263,0.661125,0.795997,0.795997
22,0.617947,0.652097,0.661125,0.795997,0.795997
23,0.617724,0.652702,0.661125,0.795997,0.795997
24,0.617466,0.652880,0.661125,0.795997,0.795997
25,0.617039,0.652839,0.661125,0.795997,0.795997
26,0.616875,0.652954,0.661125,0.795997,0.795997
27,0.616718,0.653340,0.661125,0.795997,0.795997
28,0.616398,0.653590,0.661125,0.795997,0.795997
29,0.616026,0.654163,0.661125,0.795997,0.795997
30,0.615814,0.654272,0.661125,0.795997,0.795997
31,0.615529,0.654331,0.661125,0.795997,0.795997
32,0.615147,0.654719,0.661125,0.795997,0.795997
33,0.614906,0.655154,0.661125,0.795997,0.795997
34,0.614745,0.655127,0.661125,0.795997,0.795997
35,0.614437,0.655343,0.661125,0.795997,0.795997
36,0.614040,0.655296,0.661125,0.795997,0.795997
37,0.613846,0.656673,0.661125,0.795997,0.795997
38,0.613688,0.656647,0.661125,0.795997,0.795997
39,0.613464,0.656672,0.661125,0.795997,0.795997
40,0.613271,0.656917,0.661125,0.795997,0.795997
41,0.612989,0.657164,0.661125,0.795997,0.795997
