iter,train_logloss,val_logloss,val_acc,val_f1,best_f1
1,0.634077,0.636230,0.667144,0.800344,0.800344
2,0.633810,0.636233,0.667144,0.800344,0.800344
3,0.633583,0.636201,0.667144,0.800344,0.800344
4,0.633361,0.636329,0.667144,0.800344,0.800344
5,0.633161,0.636361,0.667144,0.800344,0.800344
6,0.632953,0.636430,0.667144,0.800344,0.800344
7,0.632762,0.636447,0.667144,0.800344,0.800344
8,0.632622,0.636473,0.667144,0.800344,0.800344
9,0.632490,0.636528,0.667144,0.800344,0.800344
10,0.632291,0.636648,0.667144,0.800344,0.800344
11,0.632113,0.636823,0.667144,0.800344,0.800344
12,0.631991,0.636942,0.667144,0.800344,0.800344
13,0.631822,0.637197,0.667144,0.800344,0.800344
14,0.631631,0.637354,0.667144,0.800344,0.800344
15,0.631463,0.637590,0.667144,0.800344,0.800344
16,0.631331,0.637639,0.667144,0.800344,0.800344
17,0.631176,0.637725,0.667144,0.800344,0.800344
18,0.631057,0.637733,0.667144,0.800344,0.800344
19,0.630901,0.637803,0.667144,0.800344,0.800344
20,0.630781,0.637912,0.667144,0.800344,0.800344
21,0.630667,0.638269,0.667144,0.800344,0.800344
22,0.630560,0.638274,0.667144,0.800344,0.800344
23,0.630412,0.638673,0.667144,0.800344,0.800344
24,0.630268,0.638697,0.667144,0.800344,0.800344
25,0.630179,0.638744,0.667144,0.800344,0.800344
26,0.630049,0.639016,0.667144,0.800344,0.800344
27,0.629895,0.639136,0.667144,0.800344,0.800344
28,0.629761,0.639635,0.667144,0.800344,0.800344
29,0.629654,0.639747,0.667144,0.800344,0.800344
30,0.629557,0.639836,0.667073,0.800292,0.800344
31,0.629456,0.639915,0.667073,0.800292,0.800344
32,0.629318,0.640144,0.667073,0.800292,0.800344
33,0.629219,0.640205,0.667073,0.800292,0.800344
34,0.629091,0.640814,0.667073,0.800292,0.800344
35,0.628947,0.640874,0.667073,0.800292,0.800344
36,0.628803,0.640883,0.667073,0.800292,0.800344
37,0.628666,0.641069,0.667073,0.800292,0.800344
38,0.628547,0.641060,0.667073,0.800292,0.800344
39,0.628444,0.641609,0.667073,0.800292,0.800344
40,0.628339,0.641615,0.667073,0.800292,0.800344
41,0.628242,0.642252,0.667073,0.800292,0.800344
