epoch,train_loss,val_loss,val_acc,val_f1,best_f1
1,0.645006,0.641636,0.672945,0.804504,0.804504
2,0.631322,0.626828,0.672945,0.804504,0.804504
3,0.626346,0.624176,0.672945,0.804504,0.804504
4,0.626062,0.622784,0.672945,0.804504,0.804504
5,0.631958,0.620804,0.672945,0.804504,0.804504
6,0.625698,0.623187,0.672945,0.804504,0.804504
7,0.627482,0.621276,0.672945,0.804504,0.804504
8,0.625223,0.623033,0.667808,0.800412,0.804504
9,0.618032,0.623153,0.672945,0.804504,0.804504
10,0.628198,0.623050,0.666096,0.799589,0.804504
11,0.620151,0.622729,0.672945,0.804504,0.804504
12,0.625201,0.622912,0.667808,0.800821,0.804504
13,0.617854,0.622531,0.669521,0.801644,0.804504
14,0.620881,0.624170,0.666096,0.799589,0.804504
15,0.622590,0.622060,0.662671,0.796698,0.804504
16,0.623320,0.623525,0.662671,0.797116,0.804504
17,0.619598,0.625152,0.667808,0.800821,0.804504
