epoch,train_loss,val_loss,val_acc,val_f1,best_f1
1,0.657199,0.644679,0.660959,0.795876,0.795876
2,0.640167,0.636117,0.660959,0.795876,0.795876
3,0.641955,0.636995,0.660959,0.795876,0.795876
4,0.638275,0.638541,0.660959,0.795876,0.795876
5,0.636541,0.636740,0.660959,0.795876,0.795876
6,0.640096,0.637760,0.660959,0.795876,0.795876
7,0.633188,0.636174,0.660959,0.795876,0.795876
8,0.636192,0.636935,0.660959,0.795876,0.795876
9,0.641712,0.636468,0.660959,0.795876,0.795876
10,0.634848,0.635138,0.660959,0.795876,0.795876
11,0.639330,0.636725,0.660959,0.795876,0.795876
12,0.635603,0.635817,0.660959,0.795876,0.795876
13,0.639857,0.637195,0.660959,0.795876,0.795876
14,0.639273,0.635658,0.660959,0.795876,0.795876
15,0.639585,0.636235,0.660959,0.795876,0.795876
16,0.633852,0.636532,0.660959,0.795876,0.795876
17,0.631055,0.638304,0.660959,0.795876,0.795876
18,0.632130,0.635525,0.660959,0.795876,0.795876
19,0.635392,0.634434,0.660959,0.795876,0.795876
20,0.632552,0.635174,0.660959,0.795876,0.795876
21,0.638977,0.636379,0.659247,0.794634,0.795876
22,0.635729,0.636008,0.660959,0.795876,0.795876
23,0.631593,0.639059,0.659247,0.794634,0.795876
24,0.631962,0.636899,0.659247,0.794634,0.795876
25,0.634316,0.637893,0.659247,0.794634,0.795876
26,0.634258,0.635066,0.660959,0.795876,0.795876
27,0.634449,0.637583,0.659247,0.794634,0.795876
28,0.632716,0.636562,0.659247,0.794634,0.795876
29,0.633818,0.635728,0.660959,0.795876,0.795876
30,0.627679,0.635585,0.659247,0.794634,0.795876
31,0.635021,0.638857,0.657534,0.793388,0.795876
