epoch,train_loss,val_loss,val_acc,val_f1,best_f1
1,0.632670,0.630760,0.679440,0.809127,0.809127
2,0.628484,0.626978,0.679440,0.809127,0.809127
3,0.628203,0.627727,0.679440,0.809127,0.809127
4,0.628185,0.627002,0.679440,0.809127,0.809127
5,0.626703,0.629211,0.679440,0.809127,0.809127
6,0.627636,0.628312,0.679440,0.809127,0.809127
7,0.627557,0.627504,0.679440,0.809127,0.809127
8,0.627306,0.627479,0.679440,0.809127,0.809127
9,0.627135,0.628055,0.679440,0.809127,0.809127
10,0.627232,0.627838,0.679440,0.809127,0.809127
11,0.627821,0.626940,0.679440,0.809127,0.809127
12,0.625821,0.626682,0.679440,0.809127,0.809127
13,0.627538,0.627073,0.679440,0.809127,0.809127
14,0.627549,0.627019,0.679440,0.809127,0.809127
15,0.627240,0.626607,0.679440,0.809127,0.809127
16,0.626699,0.628264,0.679440,0.809127,0.809127
17,0.627017,0.625836,0.679440,0.809127,0.809127
18,0.626198,0.627127,0.679440,0.809127,0.809127
19,0.626396,0.626300,0.679440,0.809127,0.809127
20,0.626284,0.627758,0.679440,0.809127,0.809127
21,0.626049,0.627117,0.679154,0.808924,0.809127
22,0.626570,0.625956,0.679440,0.809127,0.809127
23,0.626292,0.626835,0.679440,0.809061,0.809127
24,0.625028,0.626881,0.679440,0.809127,0.809127
25,0.626758,0.627458,0.679440,0.809127,0.809127
26,0.626340,0.625466,0.679440,0.809127,0.809127
27,0.626080,0.626143,0.679440,0.809127,0.809127
28,0.625987,0.625218,0.679440,0.809127,0.809127
29,0.625777,0.626298,0.679154,0.808924,0.809127
30,0.625834,0.625727,0.679440,0.809061,0.809127
31,0.627294,0.626965,0.679440,0.809127,0.809127
32,0.626617,0.626566,0.679440,0.809127,0.809127
33,0.625625,0.627693,0.679440,0.809127,0.809127
34,0.625023,0.626669,0.679440,0.809127,0.809127
35,0.625871,0.625999,0.679440,0.809127,0.809127
36,0.625804,0.627854,0.679440,0.809127,0.809127
37,0.625718,0.625607,0.679440,0.809127,0.809127
38,0.626014,0.626481,0.679440,0.809127,0.809127
39,0.625501,0.626444,0.679440,0.809127,0.809127
40,0.625039,0.626070,0.679440,0.809127,0.809127
