timestamp,model,epoch,phase,loss,acc,f1,lr,thr
2025-08-18T17:09:39,LSTM_15m_long_V4,1,train,0.479446,0.502227,0.335630,2.713525e-04,0.5000
2025-08-18T17:09:44,LSTM_15m_long_V4,1,val,0.515024,0.664446,0.399199,2.713525e-04,0.2000
2025-08-18T17:09:54,LSTM_15m_long_V4,2,train,0.478953,0.499975,0.333322,1.963525e-04,0.5000
2025-08-18T17:09:58,LSTM_15m_long_V4,2,val,0.499167,0.662726,0.406386,1.963525e-04,0.3250
2025-08-18T17:10:08,LSTM_15m_long_V4,3,train,0.478865,0.500611,0.333605,1.036475e-04,0.5000
2025-08-18T17:10:12,LSTM_15m_long_V4,3,val,0.509506,0.658499,0.419391,1.036475e-04,0.3000
2025-08-18T17:10:22,LSTM_15m_long_V4,4,train,0.478886,0.499689,0.333195,2.864745e-05,0.5000
2025-08-18T17:10:26,LSTM_15m_long_V4,4,val,0.506989,0.581462,0.504633,2.864745e-05,0.3250
2025-08-18T17:10:35,LSTM_15m_long_V4,5,train,0.478683,0.500069,0.333364,3.000000e-04,0.5000
2025-08-18T17:10:40,LSTM_15m_long_V4,5,val,0.508486,0.447842,0.447808,3.000000e-04,0.3250
2025-08-18T17:10:49,LSTM_15m_long_V4,6,train,0.478682,0.501632,0.334058,2.926585e-04,0.5000
2025-08-18T17:10:54,LSTM_15m_long_V4,6,val,0.511921,0.663228,0.402804,2.926585e-04,0.3000
2025-08-18T17:11:02,LSTM_15m_long_V4,7,train,0.478632,0.500848,0.333710,2.713525e-04,0.5000
2025-08-18T17:11:08,LSTM_15m_long_V4,7,val,0.502854,0.627100,0.472292,2.713525e-04,0.3250
2025-08-18T17:11:16,LSTM_15m_long_V4,8,train,0.479067,0.497684,0.332302,2.381678e-04,0.5000
2025-08-18T17:11:21,LSTM_15m_long_V4,8,val,0.501343,0.659860,0.415701,2.381678e-04,0.3250
2025-08-18T17:11:30,LSTM_15m_long_V4,9,train,0.478773,0.499067,0.332918,1.963525e-04,0.5000
2025-08-18T17:11:34,LSTM_15m_long_V4,9,val,0.507482,0.569658,0.506274,1.963525e-04,0.3250
2025-08-18T17:11:44,LSTM_15m_long_V4,10,train,0.478648,0.499505,0.333113,1.500000e-04,0.5000
2025-08-18T17:11:48,LSTM_15m_long_V4,10,val,0.508361,0.493534,0.485346,1.500000e-04,0.3250
2025-08-18T17:11:57,LSTM_15m_long_V4,11,train,0.478584,0.500692,0.333641,1.036475e-04,0.5000
2025-08-18T17:12:02,LSTM_15m_long_V4,11,val,0.507802,0.473652,0.471044,1.036475e-04,0.3250
2025-08-18T17:12:11,LSTM_15m_long_V4,12,train,0.478668,0.499228,0.332990,6.183221e-05,0.5000
2025-08-18T17:12:15,LSTM_15m_long_V4,12,val,0.508198,0.453699,0.453647,6.183221e-05,0.3250
2025-08-18T17:12:24,LSTM_15m_long_V4,13,train,0.478586,0.499496,0.333109,2.864745e-05,0.5000
2025-08-18T17:12:29,LSTM_15m_long_V4,13,val,0.512141,0.655615,0.425265,2.864745e-05,0.3000
2025-08-18T17:12:37,LSTM_15m_long_V4,14,train,0.478251,0.501354,0.333935,7.341523e-06,0.5000
2025-08-18T17:12:42,LSTM_15m_long_V4,14,val,0.512598,0.658033,0.416866,7.341523e-06,0.3000
2025-08-18T17:12:50,LSTM_15m_long_V4,15,train,0.478434,0.499564,0.333139,3.000000e-04,0.5000
2025-08-18T17:12:55,LSTM_15m_long_V4,15,val,0.509355,0.660595,0.414278,3.000000e-04,0.3000
2025-08-18T17:13:03,LSTM_15m_long_V4,16,train,0.478233,0.502388,0.334393,2.981533e-04,0.5000
2025-08-18T17:13:08,LSTM_15m_long_V4,16,val,0.504355,0.625793,0.473339,2.981533e-04,0.3250
2025-08-18T17:13:16,LSTM_15m_long_V4,17,train,0.478238,0.501873,0.334165,2.926585e-04,0.5000
2025-08-18T17:13:21,LSTM_15m_long_V4,17,val,0.511923,0.661544,0.409332,2.926585e-04,0.3000
2025-08-18T17:13:29,LSTM_15m_long_V4,18,train,0.478423,0.500924,0.333744,2.836510e-04,0.5000
2025-08-18T17:13:33,LSTM_15m_long_V4,18,val,0.505541,0.557854,0.499072,2.836510e-04,0.3250
2025-08-18T17:13:42,LSTM_15m_long_V4,19,train,0.478413,0.500020,0.333342,2.713525e-04,0.5000
2025-08-18T17:13:46,LSTM_15m_long_V4,19,val,0.512849,0.654164,0.428426,2.713525e-04,0.3000
2025-08-18T17:13:54,LSTM_15m_long_V4,20,train,0.478339,0.501027,0.333790,2.560660e-04,0.5000
2025-08-18T17:13:59,LSTM_15m_long_V4,20,val,0.515731,0.644546,0.450245,2.560660e-04,0.3000
2025-08-18T17:14:08,LSTM_15m_long_V4,21,train,0.478220,0.500866,0.333718,2.381678e-04,0.5000
2025-08-18T17:14:12,LSTM_15m_long_V4,21,val,0.507681,0.490973,0.482067,2.381678e-04,0.3250
