timestamp,model,epoch,phase,loss,acc,f1,lr,thr
2025-08-17T13:14:34,LSTM_1d_short_V9,1,train,0.478906,0.492368,0.343116,2.713525e-04,0.5000
2025-08-17T13:14:38,LSTM_1d_short_V9,1,val,0.470502,0.468240,0.466659,2.713525e-04,0.3750
2025-08-17T13:14:43,LSTM_1d_short_V9,2,train,0.466316,0.502399,0.334398,1.963525e-04,0.5000
2025-08-17T13:14:48,LSTM_1d_short_V9,2,val,0.473228,0.604356,0.577466,1.963525e-04,0.3250
2025-08-17T13:14:53,LSTM_1d_short_V9,3,train,0.470564,0.482338,0.325390,1.036475e-04,0.5000
2025-08-17T13:14:58,LSTM_1d_short_V9,3,val,0.470284,0.617060,0.554837,1.036475e-04,0.3250
2025-08-17T13:15:03,LSTM_1d_short_V9,4,train,0.468227,0.489315,0.328551,2.864745e-05,0.5000
2025-08-17T13:15:07,LSTM_1d_short_V9,4,val,0.468924,0.562613,0.545804,2.864745e-05,0.3500
2025-08-17T13:15:12,LSTM_1d_short_V9,5,train,0.465027,0.510685,0.338048,3.000000e-04,0.5000
2025-08-17T13:15:17,LSTM_1d_short_V9,5,val,0.468659,0.566243,0.546127,3.000000e-04,0.3500
2025-08-17T13:15:22,LSTM_1d_short_V9,6,train,0.467095,0.484954,0.326579,2.926585e-04,0.5000
2025-08-17T13:15:27,LSTM_1d_short_V9,6,val,0.466860,0.542650,0.534016,2.926585e-04,0.3750
2025-08-17T13:15:32,LSTM_1d_short_V9,7,train,0.465699,0.497165,0.332071,2.713525e-04,0.5000
2025-08-17T13:15:36,LSTM_1d_short_V9,7,val,0.465821,0.586207,0.559781,2.713525e-04,0.3750
2025-08-17T13:15:41,LSTM_1d_short_V9,8,train,0.465727,0.497601,0.332266,2.381678e-04,0.5000
2025-08-17T13:15:46,LSTM_1d_short_V9,8,val,0.465432,0.613430,0.579743,2.381678e-04,0.3500
2025-08-17T13:15:51,LSTM_1d_short_V9,9,train,0.466265,0.496293,0.332448,1.963525e-04,0.5000
2025-08-17T13:15:56,LSTM_1d_short_V9,9,val,0.464868,0.615245,0.583100,1.963525e-04,0.3500
2025-08-17T13:16:00,LSTM_1d_short_V9,10,train,0.465582,0.504579,0.335362,1.500000e-04,0.5000
2025-08-17T13:16:05,LSTM_1d_short_V9,10,val,0.464947,0.584392,0.557430,1.500000e-04,0.3500
2025-08-17T13:16:10,LSTM_1d_short_V9,11,train,0.464130,0.503707,0.334977,1.036475e-04,0.5000
2025-08-17T13:16:15,LSTM_1d_short_V9,11,val,0.464178,0.589837,0.561960,1.036475e-04,0.3500
2025-08-17T13:16:20,LSTM_1d_short_V9,12,train,0.465460,0.503707,0.334977,6.183221e-05,0.5000
2025-08-17T13:16:25,LSTM_1d_short_V9,12,val,0.463524,0.600726,0.570130,6.183221e-05,0.3500
2025-08-17T13:16:29,LSTM_1d_short_V9,13,train,0.464994,0.502835,0.334591,2.864745e-05,0.5000
2025-08-17T13:16:34,LSTM_1d_short_V9,13,val,0.463318,0.604356,0.571301,2.864745e-05,0.3500
2025-08-17T13:16:39,LSTM_1d_short_V9,14,train,0.463204,0.503271,0.335564,7.341523e-06,0.5000
2025-08-17T13:16:44,LSTM_1d_short_V9,14,val,0.463141,0.609800,0.575797,7.341523e-06,0.3500
2025-08-17T13:16:49,LSTM_1d_short_V9,15,train,0.463894,0.494985,0.331860,3.000000e-04,0.5000
2025-08-17T13:16:54,LSTM_1d_short_V9,15,val,0.463067,0.607985,0.573346,3.000000e-04,0.3500
2025-08-17T13:16:59,LSTM_1d_short_V9,16,train,0.466175,0.497601,0.334563,2.981533e-04,0.5000
2025-08-17T13:17:03,LSTM_1d_short_V9,16,val,0.461170,0.618875,0.576117,2.981533e-04,0.3500
2025-08-17T13:17:08,LSTM_1d_short_V9,17,train,0.466479,0.499346,0.333042,2.926585e-04,0.5000
2025-08-17T13:17:13,LSTM_1d_short_V9,17,val,0.460800,0.618875,0.575021,2.926585e-04,0.3500
2025-08-17T13:17:18,LSTM_1d_short_V9,18,train,0.465846,0.490624,0.329895,2.836510e-04,0.5000
2025-08-17T13:17:23,LSTM_1d_short_V9,18,val,0.460881,0.618875,0.551915,2.836510e-04,0.3250
2025-08-17T13:17:28,LSTM_1d_short_V9,19,train,0.469326,0.481901,0.325191,2.713525e-04,0.5000
2025-08-17T13:17:33,LSTM_1d_short_V9,19,val,0.460173,0.609800,0.568749,2.713525e-04,0.3500
2025-08-17T13:17:37,LSTM_1d_short_V9,20,train,0.463955,0.509376,0.341409,2.560660e-04,0.5000
2025-08-17T13:17:42,LSTM_1d_short_V9,20,val,0.460015,0.589837,0.552580,2.560660e-04,0.3500
2025-08-17T13:17:47,LSTM_1d_short_V9,21,train,0.466701,0.499346,0.335350,2.381678e-04,0.5000
2025-08-17T13:17:52,LSTM_1d_short_V9,21,val,0.460051,0.622505,0.570949,2.381678e-04,0.3250
