timestamp,model,epoch,phase,loss,acc,f1,lr,thr
2025-08-17T14:42:44,LSTM_4h_long_V14,1,train,0.486990,0.498744,0.362393,2.713525e-04,0.5000
2025-08-17T14:42:49,LSTM_4h_long_V14,1,val,0.508072,0.548107,0.507927,2.713525e-04,0.3250
2025-08-17T14:42:54,LSTM_4h_long_V14,2,train,0.483006,0.493793,0.330563,1.963525e-04,0.5000
2025-08-17T14:42:59,LSTM_4h_long_V14,2,val,0.521232,0.654435,0.441515,1.963525e-04,0.3000
2025-08-17T14:43:04,LSTM_4h_long_V14,3,train,0.481766,0.502260,0.334336,1.036475e-04,0.5000
2025-08-17T14:43:08,LSTM_4h_long_V14,3,val,0.512016,0.456227,0.453116,1.036475e-04,0.3250
2025-08-17T14:43:13,LSTM_4h_long_V14,4,train,0.482248,0.498170,0.332519,2.864745e-05,0.5000
2025-08-17T14:43:18,LSTM_4h_long_V14,4,val,0.518738,0.666281,0.410415,2.864745e-05,0.3000
2025-08-17T14:43:23,LSTM_4h_long_V14,5,train,0.482523,0.495444,0.331302,3.000000e-04,0.5000
2025-08-17T14:43:28,LSTM_4h_long_V14,5,val,0.518954,0.667148,0.411551,3.000000e-04,0.3000
2025-08-17T14:43:33,LSTM_4h_long_V14,6,train,0.481520,0.505919,0.335954,2.926585e-04,0.5000
2025-08-17T14:43:38,LSTM_4h_long_V14,6,val,0.530208,0.434845,0.434154,2.926585e-04,0.3000
2025-08-17T14:43:42,LSTM_4h_long_V14,7,train,0.482213,0.497381,0.332167,2.713525e-04,0.5000
2025-08-17T14:43:47,LSTM_4h_long_V14,7,val,0.516019,0.659925,0.417039,2.713525e-04,0.3000
2025-08-17T14:43:52,LSTM_4h_long_V14,8,train,0.481842,0.496951,0.331975,2.381678e-04,0.5000
2025-08-17T14:43:57,LSTM_4h_long_V14,8,val,0.535152,0.672638,0.417721,2.381678e-04,0.2750
2025-08-17T14:44:02,LSTM_4h_long_V14,9,train,0.481431,0.498099,0.332487,1.963525e-04,0.5000
2025-08-17T14:44:07,LSTM_4h_long_V14,9,val,0.534976,0.614562,0.480330,1.963525e-04,0.2750
2025-08-17T14:44:12,LSTM_4h_long_V14,10,train,0.480008,0.504628,0.335384,1.500000e-04,0.5000
2025-08-17T14:44:16,LSTM_4h_long_V14,10,val,0.534459,0.572089,0.481902,1.500000e-04,0.2750
2025-08-17T14:44:22,LSTM_4h_long_V14,11,train,0.480644,0.501686,0.334210,1.036475e-04,0.5000
2025-08-17T14:44:26,LSTM_4h_long_V14,11,val,0.513683,0.641722,0.467152,1.036475e-04,0.3000
2025-08-17T14:44:31,LSTM_4h_long_V14,12,train,0.480916,0.505848,0.336052,6.183221e-05,0.5000
2025-08-17T14:44:36,LSTM_4h_long_V14,12,val,0.533724,0.642589,0.506392,6.183221e-05,0.2750
2025-08-17T14:44:41,LSTM_4h_long_V14,13,train,0.481569,0.496735,0.331879,2.864745e-05,0.5000
2025-08-17T14:44:46,LSTM_4h_long_V14,13,val,0.531436,0.652124,0.480058,2.864745e-05,0.2750
