epoch,train_loss,val_loss,val_acc,val_f1,best_f1
1,0.689202,0.684802,0.669691,0.802174,0.802174
2,0.677250,0.672894,0.669691,0.802174,0.802174
3,0.662518,0.659589,0.669691,0.802174,0.802174
4,0.643923,0.642232,0.669691,0.802174,0.802174
5,0.629810,0.625418,0.669691,0.802174,0.802174
6,0.629712,0.624021,0.669691,0.802174,0.802174
7,0.626411,0.628708,0.669691,0.802174,0.802174
8,0.627498,0.629795,0.669691,0.802174,0.802174
9,0.627034,0.629387,0.669691,0.802174,0.802174
10,0.626686,0.629718,0.669691,0.802174,0.802174
11,0.626169,0.632112,0.669691,0.802174,0.802174
12,0.625606,0.630738,0.669691,0.802174,0.802174
13,0.625414,0.632952,0.669691,0.802174,0.802174
14,0.626156,0.634898,0.669691,0.802174,0.802174
15,0.625192,0.634501,0.669691,0.802174,0.802174
16,0.624964,0.635125,0.669691,0.802174,0.802174
17,0.626271,0.641360,0.669691,0.802174,0.802174
18,0.625504,0.640933,0.669691,0.802174,0.802174
