epoch,train_loss,val_loss,val_acc,val_f1,best_f1
1,0.709417,0.706802,0.364791,0.000000,0.000000
2,0.697898,0.697669,0.386570,0.159204,0.159204
3,0.685233,0.687413,0.635209,0.776915,0.776915
4,0.670532,0.672924,0.635209,0.776915,0.776915
5,0.648123,0.657091,0.635209,0.776915,0.776915
6,0.637100,0.676052,0.635209,0.776915,0.776915
7,0.634975,0.661054,0.635209,0.776915,0.776915
8,0.633366,0.662476,0.635209,0.776915,0.776915
9,0.631867,0.668363,0.635209,0.776915,0.776915
10,0.633413,0.680986,0.635209,0.776915,0.776915
11,0.632095,0.676616,0.635209,0.776915,0.776915
12,0.632121,0.674918,0.635209,0.776915,0.776915
13,0.632222,0.675371,0.635209,0.776915,0.776915
14,0.632244,0.677940,0.635209,0.776915,0.776915
15,0.631203,0.678818,0.635209,0.776915,0.776915
16,0.631866,0.679638,0.635209,0.776915,0.776915
17,0.632272,0.682880,0.635209,0.776915,0.776915
