epoch,train_loss,val_loss,val_acc,val_f1,best_f1
1,0.664027,0.616348,0.693175,0.818787,0.818787
2,0.627695,0.617147,0.693175,0.818787,0.818787
3,0.627306,0.620272,0.693175,0.818787,0.818787
4,0.628048,0.616292,0.693175,0.818787,0.818787
5,0.628128,0.618296,0.693175,0.818787,0.818787
6,0.627258,0.617367,0.693175,0.818787,0.818787
7,0.627731,0.623123,0.693175,0.818787,0.818787
8,0.627623,0.616538,0.693175,0.818787,0.818787
9,0.627893,0.619186,0.693175,0.818787,0.818787
10,0.628055,0.621125,0.693175,0.818787,0.818787
11,0.627964,0.621706,0.693175,0.818787,0.818787
12,0.628170,0.621121,0.693175,0.818787,0.818787
13,0.627271,0.621158,0.693175,0.818787,0.818787
14,0.627946,0.623233,0.691440,0.817326,0.818787
15,0.627841,0.620585,0.693175,0.818787,0.818787
16,0.628118,0.622131,0.693175,0.818601,0.818787
