epoch,train_loss,val_loss,val_acc,val_f1,best_f1
1,0.647652,0.655437,0.665992,0.799514,0.799514
2,0.620301,0.638249,0.665992,0.799514,0.799514
3,0.620259,0.641894,0.665992,0.799514,0.799514
4,0.620561,0.643277,0.665992,0.799514,0.799514
5,0.620190,0.645475,0.665992,0.799514,0.799514
6,0.619417,0.640769,0.665992,0.799514,0.799514
7,0.620360,0.641953,0.665992,0.799514,0.799514
8,0.620173,0.642934,0.665992,0.799514,0.799514
9,0.620393,0.645780,0.665992,0.799514,0.799514
10,0.620075,0.645898,0.665992,0.799514,0.799514
11,0.621713,0.646690,0.665992,0.799514,0.799514
12,0.619690,0.646171,0.665992,0.799514,0.799514
13,0.620364,0.643064,0.665992,0.799514,0.799514
14,0.619353,0.643706,0.665992,0.799514,0.799514
