timestamp,model,epoch,phase,loss,acc,f1,lr,thr
2025-08-18T14:38:52,LSTM_30m_short_V4,1,train,0.462050,0.500373,0.336431,2.713525e-04,0.5000
2025-08-18T14:38:56,LSTM_30m_short_V4,1,val,0.496497,0.567667,0.501201,2.713525e-04,0.3000
2025-08-18T14:39:02,LSTM_30m_short_V4,2,train,0.461464,0.496633,0.331833,1.963525e-04,0.5000
2025-08-18T14:39:07,LSTM_30m_short_V4,2,val,0.494103,0.679625,0.404741,1.963525e-04,0.3000
2025-08-18T14:39:13,LSTM_30m_short_V4,3,train,0.460791,0.500765,0.333673,1.036475e-04,0.5000
2025-08-18T14:39:17,LSTM_30m_short_V4,3,val,0.488109,0.679401,0.404886,1.036475e-04,0.3000
2025-08-18T14:39:24,LSTM_30m_short_V4,4,train,0.460333,0.502453,0.334422,2.864745e-05,0.5000
2025-08-18T14:39:28,LSTM_30m_short_V4,4,val,0.494893,0.675106,0.413719,2.864745e-05,0.3000
2025-08-18T14:39:34,LSTM_30m_short_V4,5,train,0.460625,0.500457,0.333536,3.000000e-04,0.5000
2025-08-18T14:39:39,LSTM_30m_short_V4,5,val,0.494912,0.676675,0.409834,3.000000e-04,0.3000
2025-08-18T14:39:44,LSTM_30m_short_V4,6,train,0.460748,0.499767,0.333230,2.926585e-04,0.5000
2025-08-18T14:39:49,LSTM_30m_short_V4,6,val,0.489132,0.679476,0.404913,2.926585e-04,0.3000
2025-08-18T14:39:55,LSTM_30m_short_V4,7,train,0.460874,0.498442,0.332640,2.713525e-04,0.5000
2025-08-18T14:39:59,LSTM_30m_short_V4,7,val,0.490842,0.679700,0.404656,2.713525e-04,0.2000
2025-08-18T14:40:06,LSTM_30m_short_V4,8,train,0.460603,0.500616,0.333607,2.381678e-04,0.5000
2025-08-18T14:40:10,LSTM_30m_short_V4,8,val,0.504563,0.679700,0.404656,2.381678e-04,0.2000
2025-08-18T14:40:16,LSTM_30m_short_V4,9,train,0.460480,0.501082,0.333814,1.963525e-04,0.5000
2025-08-18T14:40:21,LSTM_30m_short_V4,9,val,0.497532,0.589775,0.497697,1.963525e-04,0.3000
2025-08-18T14:40:26,LSTM_30m_short_V4,10,train,0.460609,0.500550,0.333578,1.500000e-04,0.5000
2025-08-18T14:40:31,LSTM_30m_short_V4,10,val,0.487546,0.679513,0.404814,1.500000e-04,0.3000
2025-08-18T14:40:37,LSTM_30m_short_V4,11,train,0.460335,0.501940,0.334195,1.036475e-04,0.5000
2025-08-18T14:40:41,LSTM_30m_short_V4,11,val,0.492762,0.672268,0.419807,1.036475e-04,0.3000
2025-08-18T14:40:47,LSTM_30m_short_V4,12,train,0.460640,0.499300,0.333022,6.183221e-05,0.5000
2025-08-18T14:40:52,LSTM_30m_short_V4,12,val,0.486336,0.677758,0.406188,6.183221e-05,0.3000
2025-08-18T14:40:58,LSTM_30m_short_V4,13,train,0.460880,0.497640,0.332283,2.864745e-05,0.5000
2025-08-18T14:41:02,LSTM_30m_short_V4,13,val,0.489478,0.675629,0.413395,2.864745e-05,0.3000
