model,status,val_acc,val_f1
LSTM_1h_short_V15,✅ trained,0.5539356506750933,0.5101707516790543
LSTM_30m_long_V1,✅ trained,0.5245931024593102,0.5085198689301723
LSTM_30m_long_V2,✅ trained,0.5814870581487058,0.5102862661387773
LSTM_30m_long_V3,✅ trained,0.5339499533949953,0.5118318785548632
LSTM_30m_long_V4,✅ trained,0.5831720083172008,0.5104255341426802
LSTM_30m_long_V5,✅ trained,0.602602710260271,0.49580282972985207
LSTM_30m_long_V6,✅ trained,0.5068115006811501,0.5070200446974018
LSTM_30m_long_V7,✅ trained,0.5501183050118305,0.508836660472084
LSTM_30m_long_V8,✅ trained,0.5215100021510002,0.5035251745835645
LSTM_30m_long_V9,✅ trained,0.43622284362228436,0.5030676974748236
LSTM_30m_long_V10,✅ trained,0.49469419946941995,0.5096740490136039
LSTM_30m_long_V11,✅ trained,0.5451351545135155,0.5110282652984763
LSTM_30m_long_V12,✅ trained,0.5678640567864057,0.5064475441089975
LSTM_30m_long_V13,✅ trained,0.5704094070409407,0.4995791642491049
LSTM_30m_long_V14,✅ trained,0.5638488563848857,0.4983989598721318
LSTM_30m_long_V15,✅ trained,0.5509428550942855,0.5034289031900725
LSTM_30m_short_V1,✅ trained,0.5156306015630602,0.508435012277598
LSTM_30m_short_V2,✅ trained,0.5148419014841902,0.5071369879111632
LSTM_30m_short_V3,✅ trained,0.5640998064099806,0.5111406185252766
LSTM_30m_short_V4,✅ trained,0.5568581056858106,0.5084103986703641
LSTM_30m_short_V5,✅ trained,0.5607299060729906,0.5090309465803091
LSTM_30m_short_V6,✅ trained,0.5671470567147057,0.5094985806591713
LSTM_30m_short_V7,✅ trained,0.5725245572524558,0.5078353394084123
LSTM_30m_short_V8,✅ trained,0.5742812074281207,0.5105090995233836
LSTM_30m_short_V9,✅ trained,0.5478956047895605,0.5089087834841263
LSTM_30m_short_V10,✅ trained,0.596328959632896,0.5094505826038582
LSTM_30m_short_V11,✅ trained,0.5445615544561554,0.511849621010293
LSTM_30m_short_V12,✅ trained,0.5449559044955905,0.5085771461142459
LSTM_30m_short_V13,✅ trained,0.5297913529791353,0.5076698048878239
LSTM_30m_short_V14,✅ trained,0.5704094070409407,0.5060479943041302
LSTM_30m_short_V15,✅ trained,0.5810210081021008,0.5063799611713535
LSTM_15m_long_V1,✅ trained,0.4827079788663025,0.4990772261138201
LSTM_15m_long_V2,✅ trained,0.5394465836840692,0.500470271366357
LSTM_15m_long_V3,✅ trained,0.5509447479179725,0.5191210647616209
LSTM_15m_long_V4,✅ trained,0.5009581803528252,0.5037172631349074
LSTM_15m_long_V5,✅ trained,0.572687382466195,0.5102440970627145
LSTM_15m_long_V6,✅ trained,0.5591116683084087,0.49765450899027186
LSTM_15m_long_V7,✅ trained,0.5864242858422136,0.49927687955909134
LSTM_15m_long_V8,✅ trained,0.5620668039760007,0.5097508895314532
LSTM_15m_long_V9,✅ trained,0.5510342974836572,0.5067118614046837
LSTM_15m_long_V10,✅ trained,0.5496910539983881,0.5092075117196451
LSTM_15m_long_V11,✅ trained,0.5628548401540252,0.5044748772228933
LSTM_15m_long_V12,✅ trained,0.5602758126623086,0.5120268612588902
LSTM_15m_long_V13,✅ trained,0.5384436285484016,0.5041886665664005
LSTM_15m_long_V14,✅ trained,0.552467090534611,0.5098288457407425
LSTM_15m_long_V15,✅ trained,0.5554401361153398,0.5136629377604406
LSTM_15m_short_V1,✅ trained,0.5052744694188234,0.5035003590811633
LSTM_15m_short_V2,✅ trained,0.5793498701531298,0.5053051460284768
LSTM_15m_short_V3,✅ trained,0.5895585206411749,0.5144309075757787
LSTM_15m_short_V4,✅ trained,0.5534163159308677,0.5049060320174655
LSTM_15m_short_V5,✅ trained,0.5520551625324617,0.5082859555963962
LSTM_15m_short_V6,✅ trained,0.6223873914211516,0.5021443221724404
LSTM_15m_short_V7,✅ trained,0.6046744873287364,0.5028417379068152
LSTM_15m_short_V8,✅ trained,0.5622638130205069,0.5074456470124069
LSTM_15m_short_V9,✅ trained,0.5336616817408436,0.5068916196420648
LSTM_15m_short_V10,✅ trained,0.5514820453120802,0.5059684757338467
LSTM_15m_short_V11,✅ trained,0.5709680308050505,0.5100020776132034
LSTM_15m_short_V12,✅ trained,0.5660607146055342,0.5089745170996097
LSTM_15m_short_V13,✅ trained,0.5422763499597026,0.5059980131504345
LSTM_15m_short_V14,✅ trained,0.5779528969284499,0.5071516375710323
LSTM_15m_short_V15,✅ trained,0.5123847049341811,0.5076203794505901
