model,status,val_acc,val_f1
LSTM_1h_short_V3,✅ trained,0.6557141832269173,0.5105921293976349
LSTM_1h_short_V4,✅ trained,0.5809598966927326,0.5071773483798382
LSTM_1h_short_V5,✅ trained,0.4507496951000789,0.5127048113502413
LSTM_1h_short_V6,✅ trained,0.6608078054379798,0.5083098984008043
LSTM_1h_short_V7,✅ trained,0.6341200946983284,0.5094940154297926
LSTM_1h_short_V8,✅ trained,0.4591434105746467,0.5137912626705566
LSTM_1h_short_V9,✅ trained,0.6100868068010618,0.5112095380809271
LSTM_1h_short_V10,✅ trained,0.6168304756438769,0.5081856134132423
LSTM_1h_short_V11,✅ trained,0.5501111987947486,0.5194599460090106
LSTM_1h_short_V12,✅ trained,0.5510438338474783,0.5201493299256219
LSTM_1h_short_V13,✅ trained,0.5592223258483392,0.5185366523152427
LSTM_1h_short_V14,✅ trained,0.5576440203744888,0.5124309900258583
LSTM_1h_short_V15,✅ trained,0.5674725590071024,0.5159115903408587
LSTM_30m_long_V1,✅ trained,0.44306655675423817,0.5034219760377504
LSTM_30m_long_V2,✅ trained,0.6583276585068636,0.4960175103582085
LSTM_30m_long_V3,✅ trained,0.5218092541485968,0.5036353305102064
LSTM_30m_long_V4,✅ trained,0.41976990072040427,0.49954473786372844
LSTM_30m_long_V5,✅ trained,0.6528798250958747,0.49832259049268
LSTM_30m_long_V6,✅ trained,0.5770760904627075,0.5075340421751124
LSTM_30m_long_V7,✅ trained,0.6579334074047525,0.49808606084742274
LSTM_30m_long_V8,✅ trained,0.4655030285652844,0.49936316517866053
LSTM_30m_long_V9,✅ trained,0.4423497365685818,0.48863245840494146
LSTM_30m_long_V10,✅ trained,0.5158954876169313,0.50729426223031
LSTM_30m_long_V11,✅ trained,0.6573957922655101,0.49588297786130486
LSTM_30m_long_V12,✅ trained,0.6387226264291602,0.5021336933813924
LSTM_30m_long_V13,✅ trained,0.5398014408085732,0.5138378968393387
LSTM_30m_long_V14,✅ trained,0.4102361922511738,0.508372208545421
LSTM_30m_long_V15,✅ trained,0.5524891580946919,0.5095478868537268
LSTM_30m_short_V1,✅ trained,0.6395469696426651,0.5202462832654358
LSTM_30m_short_V2,✅ trained,0.4758969212573026,0.513196981717893
LSTM_30m_short_V3,✅ trained,0.6559263108849145,0.5016882687223683
LSTM_30m_short_V4,✅ trained,0.616895451775922,0.5189413088612184
LSTM_30m_short_V5,✅ trained,0.47561019318304004,0.5115737503308606
LSTM_30m_short_V6,✅ trained,0.4908067811189563,0.5154377559969893
LSTM_30m_short_V7,✅ trained,0.5603383391276299,0.5179910786215515
LSTM_30m_short_V8,✅ trained,0.5609476362854378,0.5195448611464477
LSTM_30m_short_V9,✅ trained,0.6318769936561414,0.5136040662205633
LSTM_30m_short_V10,✅ trained,0.5334934231747966,0.5144991303671212
LSTM_30m_short_V11,✅ trained,0.5989749471345113,0.5164149310489808
LSTM_30m_short_V12,✅ trained,0.5514856098347729,0.5065375047404775
LSTM_30m_short_V13,✅ trained,0.5246765348912226,0.511827704343584
LSTM_30m_short_V14,✅ trained,0.5467904376187234,0.5129672977517193
LSTM_30m_short_V15,✅ trained,0.5476147808322283,0.5178077685180508
LSTM_15m_long_V1,✅ trained,0.6450474655203295,0.5025876885936764
LSTM_15m_long_V2,✅ trained,0.44055167472684936,0.5047873482183565
LSTM_15m_long_V3,✅ trained,0.5161024538778435,0.503382566044149
LSTM_15m_long_V4,✅ trained,0.6445459430413756,0.5062743320296802
LSTM_15m_long_V5,✅ trained,0.552641948773061,0.5026589893402363
LSTM_15m_long_V6,✅ trained,0.6579974923876052,0.5032335348975598
LSTM_15m_long_V7,✅ trained,0.6570840050152248,0.5072785821554847
LSTM_15m_long_V8,✅ trained,0.5915815869604155,0.5012107359663001
LSTM_15m_long_V9,✅ trained,0.5627619559376679,0.49805923138152425
LSTM_15m_long_V10,✅ trained,0.6220669890739746,0.5047315071450525
LSTM_15m_long_V11,✅ trained,0.537632097438653,0.5018432034691356
LSTM_15m_long_V12,✅ trained,0.5673831273508866,0.5077404779546706
LSTM_15m_long_V13,✅ trained,0.6098334228909189,0.5053901347191525
LSTM_15m_long_V14,✅ trained,0.6241626365753179,0.5098822401401544
LSTM_15m_long_V15,✅ trained,0.5166039763567974,0.5093625921774169
LSTM_15m_short_V1,✅ trained,0.500608991581587,0.5062683371134817
LSTM_15m_short_V2,✅ trained,0.6617409994626545,0.5072201987427833
LSTM_15m_short_V3,✅ trained,0.5826974744760881,0.4982844676503665
LSTM_15m_short_V4,✅ trained,0.616084542360738,0.5024981955271917
LSTM_15m_short_V5,✅ trained,0.5855454056958624,0.5062019901492902
LSTM_15m_short_V6,✅ trained,0.6173383485581229,0.5111218455750491
LSTM_15m_short_V7,✅ trained,0.5356797420741537,0.509633544914855
LSTM_15m_short_V8,✅ trained,0.5821422174458176,0.5072763240421865
LSTM_15m_short_V9,✅ trained,0.5165502418054809,0.5067073850341695
LSTM_15m_short_V10,✅ trained,0.538993372738671,0.5046002485009783
LSTM_15m_short_V11,✅ trained,0.5357513881425757,0.5101251948174239
LSTM_15m_short_V12,✅ trained,0.5189145620634068,0.5053386072449632
LSTM_15m_short_V13,✅ trained,0.5548808884112484,0.5118626744272847
LSTM_15m_short_V14,✅ trained,0.5177324019344438,0.5105742240870458
LSTM_15m_short_V15,✅ trained,0.5577109081139172,0.5101242809528966
