model,status,val_acc,val_f1
LSTM_30m_long_V3,✅ trained,0.5884308014041377,0.5037420962280489
LSTM_30m_long_V4,✅ trained,0.6442975576966167,0.5014207734254134
LSTM_30m_long_V5,✅ trained,0.5747628650384644,0.501018371008326
LSTM_30m_long_V6,✅ trained,0.46142355665098217,0.5047010578712974
LSTM_30m_long_V7,✅ trained,0.5264396146090073,0.5047592542310144
LSTM_30m_long_V8,✅ trained,0.5841735753230264,0.4989488488071165
LSTM_30m_long_V9,✅ trained,0.5719620584061543,0.5029743477263292
LSTM_30m_long_V10,✅ trained,0.4750541489282247,0.49923745202530834
LSTM_30m_long_V11,✅ trained,0.5249831951602061,0.4997784375473676
LSTM_30m_long_V12,✅ trained,0.5330121741728284,0.510085319828225
LSTM_30m_long_V13,✅ trained,0.5655388751960565,0.4993309721804883
LSTM_30m_long_V14,✅ trained,0.5354021958323998,0.5095130919849774
LSTM_30m_long_V15,✅ trained,0.5319291956083352,0.5055875608336625
LSTM_30m_short_V1,✅ trained,0.669056688326238,0.4946466907529584
LSTM_30m_short_V2,✅ trained,0.6760400328627978,0.4958133322193382
LSTM_30m_short_V3,✅ trained,0.5772649189633281,0.5046674577439814
LSTM_30m_short_V4,✅ trained,0.6777578609306146,0.5012009826206376
LSTM_30m_short_V5,✅ trained,0.566360445141534,0.5022215358059517
LSTM_30m_short_V6,✅ trained,0.6783553663455075,0.4180648326574786
LSTM_30m_short_V7,✅ trained,0.6786541190529539,0.4801838015191411
LSTM_30m_short_V8,✅ trained,0.568638434535813,0.5056195032182276
LSTM_30m_short_V9,✅ trained,0.5627380685637463,0.5011871583427069
LSTM_30m_short_V10,✅ trained,0.5583688102173426,0.5038694750927183
LSTM_30m_short_V11,✅ trained,0.5097468070804392,0.4993520035092106
LSTM_30m_short_V12,✅ trained,0.5608708641422063,0.5086042825090564
LSTM_30m_short_V13,✅ trained,0.5104190006721936,0.5007635056413224
LSTM_30m_short_V14,✅ trained,0.5398834864440959,0.5004598948297134
LSTM_30m_short_V15,✅ trained,0.5470535514228098,0.5071190578778999
LSTM_15m_long_V1,✅ trained,0.6005262863221544,0.5094917784184468
LSTM_15m_long_V2,✅ trained,0.6424985536457458,0.497215126852781
LSTM_15m_long_V3,✅ trained,0.5725323330160685,0.512333701213384
LSTM_15m_long_V4,✅ trained,0.626784614523263,0.4804936631754494
LSTM_15m_long_V5,✅ trained,0.5766754381053693,0.5118797719484085
LSTM_15m_long_V6,✅ trained,0.6454099247895788,0.5004916256494627
LSTM_15m_long_V7,✅ trained,0.62601944646623,0.5036749892320731
LSTM_15m_long_V8,✅ trained,0.5773472929847153,0.511390528516963
LSTM_15m_long_V9,✅ trained,0.5660377358490566,0.5112189247482117
LSTM_15m_long_V10,✅ trained,0.5707033947334043,0.5100581991963151
LSTM_15m_long_V11,✅ trained,0.5411417800421776,0.5115345883228659
LSTM_15m_long_V12,✅ trained,0.5513129164100554,0.5065646795041098
LSTM_15m_long_V13,✅ trained,0.5262676595188772,0.5081793815116432
LSTM_15m_long_V14,✅ trained,0.5541682996472762,0.5067238801788365
LSTM_15m_long_V15,✅ trained,0.5064852658492432,0.5034774524824804
LSTM_15m_short_V1,✅ trained,0.4988709105499879,0.5102409648116562
LSTM_15m_short_V2,✅ trained,0.5127185861187317,0.5106486598887423
LSTM_15m_short_V3,✅ trained,0.5392941791239759,0.5064608817627045
LSTM_15m_short_V4,✅ trained,0.5079222887856223,0.5087798927176658
LSTM_15m_short_V5,✅ trained,0.5927812925741374,0.507085578293943
LSTM_15m_short_V6,✅ trained,0.5548774797976971,0.5105825932007793
LSTM_15m_short_V7,✅ trained,0.6705298322229065,0.5058092475861973
LSTM_15m_short_V8,✅ trained,0.5483455573596103,0.5094596861881148
LSTM_15m_short_V9,✅ trained,0.5796801224268892,0.5077154078183025
LSTM_15m_short_V10,✅ trained,0.5947035440344886,0.5081211293520376
LSTM_15m_short_V11,✅ trained,0.5596737771308065,0.5079113643391041
LSTM_15m_short_V12,✅ trained,0.5408245152380419,0.5045071953523668
LSTM_15m_short_V13,✅ trained,0.5303734393371032,0.5070255783876886
LSTM_15m_short_V14,✅ trained,0.540731202060355,0.5074526186290054
LSTM_15m_short_V15,✅ trained,0.5428214172405427,0.5096437801196078
