time,position,entry,exit,pnl,balance,exited
2024-06-28 17:45:00,SHORT,60826.63,60579.06,1.24,1001.24,100%
2024-06-28 19:15:00,SHORT,60446.02,60449.07,0.26,1001.5,100%
2024-06-28 19:30:00,LONG,60446.29,60739.83,1.29,1002.78,100%
2024-06-28 19:45:00,LONG,60123.73,60123.73,0.25,1003.04,100%
2024-06-28 20:00:00,LONG,60208.01,60780.0,2.0,1005.04,100%
2024-06-30 07:00:00,LONG,61727.58,62034.31,1.32,1006.36,100%
2024-06-30 17:15:00,LONG,61797.71,63332.0,3.02,1009.38,100%
2024-06-30 18:45:00,LONG,62055.31,62051.26,0.26,1009.64,100%
2024-06-30 22:15:00,LONG,62942.57,63252.0,1.37,1011.0,100%
2024-06-30 22:30:00,LONG,62854.01,63157.94,1.51,1012.51,100%
2024-06-30 22:45:00,SHORT,62901.01,62931.36,0.18,1012.69,100%
2024-07-01 00:00:00,LONG,62624.0,63233.99,2.18,1014.88,100%
2024-07-01 01:00:00,LONG,63644.0,64270.25,2.15,1017.03,100%
2024-07-01 01:15:00,SHORT,63488.0,63184.05,1.26,1018.29,100%
2024-07-01 01:30:00,SHORT,63617.78,62993.38,2.08,1020.38,100%
2024-07-01 01:45:00,SHORT,63640.82,63050.01,2.03,1022.41,100%
2024-07-01 02:00:00,LONG,63527.49,63454.01,0.08,1022.49,100%
2024-07-01 02:30:00,SHORT,63390.0,63132.9,1.25,1023.74,100%
2024-07-01 16:00:00,SHORT,63282.0,63020.0,1.2,1024.94,100%
2024-07-01 17:30:00,SHORT,63604.0,63020.0,2.02,1026.96,100%
2024-07-01 17:45:00,SHORT,63697.66,63152.0,2.04,1029.0,100%
2024-07-01 18:15:00,SHORT,63520.5,63203.87,1.34,1030.34,100%
2024-07-01 19:45:00,SHORT,63226.78,63250.0,0.27,1030.61,100%
2024-07-02 09:45:00,SHORT,62650.01,62350.25,1.29,1031.9,100%
2024-07-02 13:45:00,SHORT,62626.92,62323.99,1.29,1033.2,100%
2024-07-02 14:00:00,LONG,62370.01,62363.05,0.25,1033.44,100%
2024-07-02 14:15:00,LONG,62331.37,62638.77,1.3,1034.74,100%
2024-07-02 14:30:00,LONG,61889.11,61889.11,0.43,1035.18,100%
2024-07-02 14:45:00,LONG,62035.43,62024.0,0.23,1035.41,100%
2024-07-02 15:45:00,LONG,61948.08,61933.34,0.25,1035.66,100%
2024-07-03 01:45:00,SHORT,61617.91,60282.0,2.76,1038.42,100%
2024-07-03 02:00:00,SHORT,61538.01,60282.0,2.8,1041.21,100%
2024-07-03 02:30:00,SHORT,61257.9,59814.27,2.88,1044.1,100%
2024-07-03 03:00:00,LONG,60814.86,60814.86,0.45,1044.55,100%
