time,position,entry,exit,pnl,balance,exited
2024-06-02,LONG,67765.63,68035.99,1.21,1001.21,100%
2024-06-03,SHORT,68809.9,68143.21,2.77,1003.98,100%
2024-06-04,SHORT,70537.84,68881.54,4.83,1008.81,100%
2024-06-05,SHORT,71108.0,71249.99,0.07,1008.87,100%
2024-06-06,SHORT,70799.06,70804.68,0.25,1009.12,100%
2024-06-08,SHORT,69310.46,67723.98,2.94,1012.06,100%
2024-06-09,SHORT,69648.14,69666.6,0.22,1012.28,100%
2024-06-10,SHORT,69540.0,67960.95,2.86,1015.14,100%
2024-06-11,LONG,67314.24,69580.03,6.76,1021.91,100%
2024-06-12,SHORT,68263.99,67606.36,2.66,1024.57,100%
2024-06-13,LONG,66773.01,68194.68,4.46,1029.03,100%
2024-06-14,LONG,66043.99,66643.02,2.5,1031.53,100%
2024-06-15,LONG,66228.25,66547.56,1.27,1032.81,100%
2024-06-16,SHORT,66676.87,66740.68,0.22,1033.03,100%
2024-06-17,SHORT,66504.33,65156.66,2.74,1035.77,100%
2024-06-18,LONG,65175.32,66538.88,4.38,1040.15,100%
2024-06-19,LONG,64974.37,64970.99,0.29,1040.44,100%
2024-06-20,SHORT,64869.99,63570.01,2.67,1043.11,100%
2024-06-21,SHORT,64143.56,64219.83,0.13,1043.24,100%
2024-06-22,SHORT,64262.01,62922.87,2.7,1045.94,100%
2024-06-23,SHORT,63210.01,62579.88,2.23,1048.17,100%
2024-06-24,LONG,60293.3,63181.48,10.3,1058.47,100%
2024-06-25,SHORT,61806.01,60336.0,5.15,1063.62,100%
2024-06-26,LONG,60864.99,62181.98,3.71,1067.33,100%
2024-06-27,LONG,61706.47,62014.32,1.42,1068.75,100%
2024-06-28,LONG,60427.84,61685.37,4.43,1073.18,100%
2024-06-29,LONG,60986.68,62244.7,2.95,1076.13,100%
2024-06-30,LONG,62772.01,63390.0,2.42,1078.55,100%
2024-07-01,SHORT,62899.99,62931.36,0.19,1078.74,100%
2024-07-02,SHORT,62135.47,62139.48,0.26,1079.01,100%
2024-07-03,SHORT,60208.58,60212.01,0.34,1079.35,100%
2024-07-04,LONG,57050.01,60232.0,12.13,1091.48,100%
2024-07-05,LONG,56628.79,56823.75,1.53,1093.01,100%
2024-07-06,SHORT,58230.13,56564.01,6.13,1099.14,100%
2024-07-07,LONG,55857.81,58135.99,9.15,1108.29,100%
2024-07-08,LONG,56714.62,57849.08,3.16,1111.44,100%
2024-07-09,LONG,58050.0,59331.45,3.23,1114.67,100%
2024-07-10,LONG,57725.85,58925.98,3.25,1117.92,100%
2024-07-11,LONG,57339.89,57849.35,2.44,1120.37,100%
2024-07-12,LONG,57889.1,58157.91,1.41,1121.77,100%
2024-07-13,LONG,59204.02,59190.01,0.3,1122.08,100%
2024-07-14,LONG,60797.91,60774.0,0.35,1122.43,100%
2024-07-15,LONG,64724.14,64646.27,0.17,1122.59,100%
2024-07-16,LONG,65043.99,65650.62,2.31,1124.91,100%
2024-07-17,LONG,64087.99,65371.44,3.57,1128.47,100%
2024-07-18,LONG,63987.92,64614.66,2.35,1130.82,100%
2024-07-19,LONG,66660.0,66980.0,1.49,1132.31,100%
2024-07-20,LONG,67139.96,67107.92,0.21,1132.53,100%
2024-07-21,SHORT,68165.34,66742.01,3.72,1136.25,100%
2024-07-22,SHORT,67532.01,67544.01,0.26,1136.51,100%
2024-07-23,LONG,65936.01,67570.85,5.45,1141.96,100%
2024-07-24,LONG,65376.0,65638.0,1.58,1143.54,100%
2024-07-25,LONG,65799.95,67116.0,2.92,1146.46,100%
2024-07-26,LONG,67907.99,67899.24,0.29,1146.75,100%
2024-07-27,LONG,67896.5,69338.01,3.14,1149.89,100%
2024-07-28,LONG,68249.88,68590.01,1.55,1151.44,100%
2024-07-29,LONG,66784.69,68208.71,4.97,1156.41,100%
2024-07-30,SHORT,66188.0,66210.01,0.35,1156.76,100%
2024-07-31,LONG,64628.0,66107.02,5.49,1162.25,100%
2024-08-01,SHORT,65354.02,64000.01,3.52,1165.77,100%
2024-08-02,SHORT,61498.33,60920.39,2.54,1168.31,100%
2024-08-03,SHORT,60697.99,60396.02,1.63,1169.94,100%
2024-08-04,SHORT,58161.0,58000.0,1.45,1171.39,100%
2024-08-05,LONG,54018.81,58182.01,18.06,1189.45,100%
2024-08-06,LONG,56022.01,55924.55,0.19,1189.64,100%
2024-08-07,LONG,55134.16,55682.0,3.69,1193.33,100%
2024-08-08,SHORT,61685.99,55206.08,25.18,1218.51,100%
2024-08-09,LONG,60837.99,61127.99,2.13,1220.64,100%
2024-08-10,LONG,60923.51,60891.99,0.22,1220.86,100%
2024-08-11,LONG,58712.59,60936.0,9.2,1230.05,100%
2024-08-12,LONG,59346.64,59589.07,1.49,1231.55,100%
2024-08-13,LONG,60587.15,61157.89,2.48,1234.03,100%
2024-08-14,LONG,58683.39,60482.39,7.78,1241.81,100%
2024-08-15,LONG,57541.06,58719.99,5.25,1247.05,100%
