time,position,entry,exit,pnl,balance,exited
2024-06-28 01:00:00,LONG,62091.99,62059.14,0.18,1000.18,100%
2024-06-28 02:00:00,LONG,61730.67,61693.11,0.17,1000.34,100%
2024-06-28 12:00:00,SHORT,61395.09,61140.01,1.2,1001.55,100%
2024-06-28 13:00:00,SHORT,61297.99,60992.01,1.29,1002.84,100%
2024-06-28 14:00:00,LONG,60928.02,60924.95,0.36,1003.2,100%
2024-06-28 15:00:00,SHORT,61062.01,61064.75,0.27,1003.47,100%
2024-06-28 16:00:00,SHORT,60940.01,60646.45,1.41,1004.89,100%
2024-06-28 17:00:00,LONG,60826.63,60780.0,0.14,1005.03,100%
2024-06-28 18:00:00,LONG,60828.02,60780.0,0.13,1005.16,100%
2024-06-28 19:00:00,LONG,60123.73,60414.01,1.63,1006.79,100%
2024-06-28 20:00:00,LONG,60229.92,60780.0,2.09,1008.88,100%
2024-06-29 00:00:00,LONG,60770.71,60770.67,0.27,1009.16,100%
2024-06-30 20:00:00,LONG,61990.01,61990.01,0.26,1009.42,100%
2024-06-30 22:00:00,LONG,62901.01,63172.29,1.37,1010.79,100%
2024-06-30 23:00:00,LONG,62772.01,63390.0,2.28,1013.07,100%
2024-07-01 00:00:00,LONG,62931.99,63233.99,1.38,1014.45,100%
2024-07-01 01:00:00,LONG,63640.82,64270.25,2.16,1016.61,100%
2024-07-01 02:00:00,LONG,63435.86,63434.0,0.27,1016.88,100%
2024-07-01 03:00:00,LONG,63437.69,63435.99,0.25,1017.13,100%
2024-07-01 08:00:00,LONG,62923.91,62875.46,0.17,1017.3,100%
2024-07-01 13:00:00,LONG,62685.27,62684.0,0.29,1017.59,100%
2024-07-01 14:00:00,LONG,62826.02,63454.01,2.16,1019.75,100%
2024-07-01 16:00:00,SHORT,63119.33,62822.01,1.27,1021.03,100%
2024-07-01 17:00:00,SHORT,63697.66,63408.01,1.45,1022.48,100%
2024-07-01 18:00:00,SHORT,63649.99,63020.0,2.1,1024.58,100%
2024-07-01 19:00:00,SHORT,63226.78,63250.0,0.27,1024.85,100%
2024-07-02 13:00:00,SHORT,62626.92,62323.99,1.28,1026.13,100%
2024-07-02 14:00:00,SHORT,62035.43,60787.35,2.81,1028.94,100%
2024-07-02 15:00:00,SHORT,61948.08,60687.02,2.78,1031.73,100%
2024-07-02 17:00:00,SHORT,62147.98,60900.0,2.93,1034.66,100%
2024-07-02 18:00:00,SHORT,62330.01,61046.39,2.79,1037.45,100%
2024-07-02 19:00:00,SHORT,61939.1,60687.02,2.78,1040.23,100%
2024-07-02 20:00:00,SHORT,62012.01,60768.0,2.79,1043.02,100%
2024-07-02 21:00:00,SHORT,61958.02,60687.02,2.86,1045.87,100%
2024-07-03 01:00:00,SHORT,61617.91,60282.0,2.78,1048.66,100%
2024-07-03 02:00:00,SHORT,61362.0,60117.98,2.67,1051.33,100%
2024-07-03 03:00:00,SHORT,60987.99,60383.99,2.42,1053.75,100%
2024-07-03 04:00:00,SHORT,60883.9,60300.0,2.3,1056.05,100%
2024-07-03 05:00:00,SHORT,61121.52,59814.27,2.78,1058.83,100%
2024-07-03 06:00:00,SHORT,61014.0,60476.01,2.09,1060.92,100%
2024-07-03 07:00:00,SHORT,60870.01,60270.02,2.39,1063.31,100%
2024-07-03 08:00:00,SHORT,60497.59,60212.01,1.4,1064.71,100%
2024-07-03 09:00:00,SHORT,60606.01,60312.0,1.5,1066.21,100%
2024-07-03 10:00:00,SHORT,60383.99,60383.99,0.27,1066.48,100%
2024-07-03 11:00:00,SHORT,60386.01,60112.18,1.3,1067.79,100%
2024-07-03 12:00:00,SHORT,60028.01,60066.42,0.21,1068.0,100%
2024-07-03 13:00:00,SHORT,60589.99,60328.13,1.53,1069.53,100%
2024-07-03 14:00:00,SHORT,60281.15,59990.01,1.46,1070.99,100%
2024-07-03 15:00:00,SHORT,60186.25,59936.01,1.37,1072.37,100%
2024-07-03 16:00:00,SHORT,60495.98,60508.01,0.24,1072.6,100%
2024-07-03 17:00:00,SHORT,60371.34,60089.4,1.33,1073.93,100%
2024-07-03 18:00:00,SHORT,60248.01,59954.01,1.47,1075.4,100%
2024-07-03 19:00:00,LONG,59671.1,59671.1,0.49,1075.9,100%
2024-07-03 20:00:00,LONG,59609.26,59822.39,1.29,1077.19,100%
2024-07-03 21:00:00,SHORT,60247.59,59954.01,1.75,1078.95,100%
2024-07-03 22:00:00,SHORT,60316.01,59093.01,3.01,1081.96,100%
2024-07-04 00:00:00,SHORT,60430.01,59140.0,2.86,1084.82,100%
2024-07-04 01:00:00,SHORT,58561.1,58586.01,0.57,1085.39,100%
2024-07-04 02:00:00,SHORT,58972.13,58772.0,1.96,1087.35,100%
2024-07-04 03:00:00,SHORT,59102.0,57888.0,2.81,1090.16,100%
2024-07-04 04:00:00,SHORT,58968.36,59051.09,0.08,1090.24,100%
2024-07-04 05:00:00,SHORT,58902.0,59051.09,-0.13,1090.1,100%
2024-07-04 06:00:00,SHORT,58795.99,57504.35,2.89,1092.99,100%
2024-07-04 07:00:00,SHORT,58219.99,57000.0,2.96,1095.95,100%
2024-07-04 08:00:00,SHORT,57688.46,57416.09,1.4,1097.35,100%
2024-07-04 09:00:00,SHORT,57748.0,57540.01,1.24,1098.59,100%
